# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 23.8124 1.7182 2.5114 2.4126
10 5.0 1.5188 0.1759 1.5188 2.6772 2.2651
20 10.0 1.4103 4.0210 1.4103 2.8795 2.1812
30 15.0 1.5908 4.1243 1.5908 2.6318 2.3306
40 20.0 1.6335 8.9142 1.6335 2.5538 2.2494
50 25.0 1.4417 1.6979 1.4417 2.7369 2.2679
60 30.0 1.5311 0.4840 1.5311 2.5654 2.2501
70 35.0 1.4996 0.0001 1.4996 2.3964 2.3658
80 40.0 1.6423 10.1285 1.6423 2.3219 2.4084
90 45.0 1.5152 0.1163 1.5152 2.5876 2.1737
100 50.0 1.4090 4.1370 1.4090 2.8087 2.0803
110 55.0 1.6206 7.2671 1.6206 2.5441 2.3140
120 60.0 1.6334 8.8912 1.6334 2.5410 2.3023
130 65.0 1.4251 2.8054 1.4251 2.8332 2.1396
140 70.0 1.5100 0.0503 1.5100 2.7372 2.1409
150 75.0 1.6646 13.5528 1.6646 2.5591 2.2275
160 80.0 1.5257 0.3309 1.5257 2.7809 2.1618
170 85.0 1.4556 0.9860 1.4556 2.9044 2.0096
180 90.0 1.5774 2.9963 1.5774 2.6824 2.0913
190 95.0 1.6423 10.1198 1.6423 2.5228 2.2319
200 100.0 1.4648 0.6206 1.4648 2.6571 2.1526
210 105.0 1.5818 3.3443 1.5818 2.7335 2.0276
220 110.0 1.4623 0.7102 1.4623 2.8406 2.0274
230 115.0 1.6012 5.1167 1.6012 2.6996 2.1734
240 120.0 1.6325 8.7838 1.6325 2.7428 2.1716
250 125.0 1.4885 0.0666 1.4885 3.0301 1.9105
260 130.0 1.4585 0.8630 1.4585 3.0397 1.9162
270 135.0 1.6818 16.5243 1.6818 2.7420 2.2000
280 140.0 1.6202 7.2203 1.6202 2.7975 2.1315
290 145.0 1.4215 3.0824 1.4215 3.0403 1.9351
300 150.0 1.4969 0.0049 1.4969 2.9231 1.9476
310 155.0 1.5914 4.1730 1.5914 2.6959 2.1487
320 160.0 1.5614 1.8848 1.5614 2.6854 2.3057
330 165.0 1.5502 1.2589 1.5502 2.8304 2.0967
340 170.0 1.5443 0.9825 1.5443 2.9326 2.0386
350 175.0 1.4940 0.0180 1.4940 2.8710 2.1920
360 180.0 1.6772 15.7069 1.6772 2.6340 2.3656
370 185.0 1.5499 1.2445 1.5499 2.7624 2.1646
380 190.0 1.4298 2.4658 1.4298 2.8730 2.0397
390 195.0 1.5822 3.3803 1.5822 2.5890 2.1359
400 200.0 1.6591 12.6619 1.6591 2.4586 2.2766
410 205.0 1.5020 0.0020 1.5020 2.6525 2.1467
420 210.0 1.5315 0.4969 1.5315 2.6715 2.0542
430 215.0 1.6204 7.2453 1.6204 2.5205 2.1791
440 220.0 1.5989 4.8907 1.5989 2.4930 2.2823
450 225.0 1.5043 0.0094 1.5043 2.5978 2.1735
460 230.0 1.4726 0.3765 1.4726 2.5761 2.0881
470 235.0 1.6176 6.9154 1.6176 2.4555 2.1576
480 240.0 1.5892 3.9813 1.5892 2.5824 2.2346
490 245.0 1.4733 0.3578 1.4733 2.8205 2.0889
500 250.0 1.6066 5.6769 1.6066 2.7316 2.0921
510 255.0 1.6571 12.3349 1.6571 2.6832 2.1784
520 260.0 1.5239 0.2859 1.5239 2.8554 2.1982
530 265.0 1.5257 0.3290 1.5257 2.8835 2.0569
540 270.0 1.5969 4.6980 1.5969 2.8071 2.0716
550 275.0 1.5573 1.6433 1.5573 2.8595 2.1070
560 280.0 1.5678 2.3011 1.5678 2.8853 2.1807
570 285.0 1.5503 1.2645 1.5503 2.8755 2.1932
580 290.0 1.5765 2.9263 1.5765 2.8272 2.2333
590 295.0 1.5752 2.8242 1.5752 2.8155 2.2753
600 300.0 1.5577 1.6661 1.5577 2.8601 2.2181
610 305.0 1.5670 2.2425 1.5670 2.9101 2.1912
620 310.0 1.5029 0.0042 1.5029 2.9618 2.2151
630 315.0 1.5826 3.4088 1.5826 2.9070 2.2780
640 320.0 1.5956 4.5684 1.5956 2.9902 2.2836
650 325.0 1.4907 0.0431 1.4907 3.1338 2.1964
660 330.0 1.5863 3.7257 1.5863 3.0134 2.2149
670 335.0 1.5678 2.3005 1.5678 2.9699 2.2920
680 340.0 1.5344 0.5912 1.5344 3.0534 2.1932
690 345.0 1.5821 3.3687 1.5821 3.1084 2.1519
700 350.0 1.5384 0.7356 1.5384 3.0757 2.2038
710 355.0 1.5749 2.8051 1.5749 3.0070 2.2534
720 360.0 1.5382 0.7304 1.5382 3.0627 2.1649
730 365.0 1.4928 0.0257 1.4928 3.1060 2.1107
740 370.0 1.5588 1.7271 1.5588 3.0146 2.1591
750 375.0 1.5705 2.4823 1.5705 2.9750 2.2132
760 380.0 1.5533 1.4220 1.5533 3.0571 2.2098
770 385.0 1.5491 1.2072 1.5491 3.1418 2.1807
780 390.0 1.5892 3.9742 1.5892 3.1204 2.2036
790 395.0 1.5656 2.1503 1.5656 3.1592 2.1202
800 400.0 1.5129 0.0830 1.5129 3.2391 2.0660
810 405.0 1.5684 2.3369 1.5684 3.2110 2.1166
820 410.0 1.6188 7.0623 1.6188 3.1903 2.1883
830 415.0 1.5305 0.4661 1.5305 3.3631 2.1315
840 420.0 1.5002 0.0000 1.5002 3.4467 2.0819
850 425.0 1.6110 6.1605 1.6110 3.3391 2.1575
860 430.0 1.6028 5.2829 1.6028 3.3329 2.1873
870 435.0 1.5209 0.2192 1.5209 3.4211 2.0803
880 440.0 1.5297 0.4419 1.5297 3.3882 2.0570
890 445.0 1.5924 4.2705 1.5924 3.2827 2.1251
900 450.0 1.5675 2.2797 1.5675 3.2740 2.1458
910 455.0 1.5210 0.2213 1.5210 3.3285 2.1237
920 460.0 1.5480 1.1536 1.5480 3.3070 2.1484
930 465.0 1.5867 3.7589 1.5867 3.2558 2.2034
940 470.0 1.5750 2.8131 1.5750 3.2329 2.2002
950 475.0 1.5397 0.7878 1.5397 3.2232 2.1586
960 480.0 1.5459 1.0530 1.5459 3.2046 2.1633
970 485.0 1.5865 3.7374 1.5865 3.2087 2.2193
980 490.0 1.5338 0.5705 1.5338 3.2345 2.2206
990 495.0 1.5718 2.5754 1.5718 3.1956 2.2279
1000 500.0 1.5385 0.7427 1.5385 3.1247 2.2270
1010 505.0 1.5545 1.4867 1.5545 3.1180 2.2429
1020 510.0 1.5649 2.1049 1.5649 3.1400 2.2372
1030 515.0 1.5197 0.1943 1.5197 3.1404 2.2201
1040 520.0 1.5803 3.2214 1.5803 3.1058 2.2381
1050 525.0 1.5369 0.6821 1.5369 3.1701 2.2061
1060 530.0 1.4963 0.0068 1.4963 3.1861 2.1917
1070 535.0 1.5960 4.6091 1.5960 3.1018 2.2742
1080 540.0 1.5425 0.9019 1.5425 3.1165 2.2207
1090 545.0 1.5329 0.5409 1.5329 3.1743 2.1774
