# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 2.3277 1.7182 2.5114 2.4126
10 5.0 1.5522 4.7817 1.5522 2.5380 2.2870
20 10.0 1.6075 0.9017 1.6075 2.5939 2.1551
30 15.0 1.6512 0.0008 1.6512 2.6478 2.1330
40 20.0 1.6179 0.5155 1.6179 2.6647 2.1651
50 25.0 1.6479 0.0022 1.6479 2.5668 2.2858
60 30.0 1.5411 5.9336 1.5411 2.5530 2.3123
70 35.0 1.6079 0.8873 1.6079 2.5976 2.1794
80 40.0 1.5717 3.0673 1.5717 2.7431 2.0970
90 45.0 1.5905 1.7725 1.5905 2.7636 2.0899
100 50.0 1.6330 0.1449 1.6330 2.6929 2.1179
110 55.0 1.5164 8.9233 1.5164 2.7435 2.1720
120 60.0 1.5711 3.1151 1.5711 2.8012 2.2642
130 65.0 1.6198 0.4568 1.6198 2.7470 2.3379
140 70.0 1.6355 0.1048 1.6355 2.7262 2.2470
150 75.0 1.5114 9.6103 1.5114 2.7917 2.1035
160 80.0 1.6181 0.5083 1.6181 2.7292 2.2787
170 85.0 1.6837 0.5669 1.6837 2.7540 2.2821
180 90.0 1.5535 4.6544 1.5535 2.9674 2.1255
190 95.0 1.5424 5.7939 1.5424 2.9917 2.0322
200 100.0 1.6138 0.6539 1.6138 2.9230 1.9713
210 105.0 1.6541 0.0086 1.6541 2.9706 1.9150
220 110.0 1.5357 6.5358 1.5357 3.1012 1.9137
230 115.0 1.5391 6.1479 1.5391 3.0118 1.9724
240 120.0 1.6447 0.0142 1.6447 2.7899 2.1254
250 125.0 1.6453 0.0111 1.6453 2.7627 2.2495
260 130.0 1.5602 4.0361 1.5602 2.9463 1.9980
270 135.0 1.5836 2.2031 1.5836 2.9464 1.9824
280 140.0 1.7062 1.5806 1.7062 2.7652 2.1913
290 145.0 1.6048 1.0212 1.6048 2.8189 2.0493
300 150.0 1.5560 4.4177 1.5560 2.9199 1.9039
310 155.0 1.6504 0.0001 1.6504 2.9578 1.8926
320 160.0 1.6130 0.6842 1.6130 2.9905 2.0397
330 165.0 1.6379 0.0729 1.6379 2.9885 2.0803
340 170.0 1.6030 1.1025 1.6030 2.9557 2.0033
350 175.0 1.6712 0.2241 1.6712 2.8088 2.1951
360 180.0 1.6758 0.3323 1.6758 2.7538 2.2864
370 185.0 1.5903 1.7801 1.5903 2.8886 2.1449
380 190.0 1.5789 2.5252 1.5789 3.0129 2.1368
390 195.0 1.5999 1.2569 1.5999 2.9740 2.2950
400 200.0 1.7062 1.5805 1.7062 2.8812 2.2467
410 205.0 1.6429 0.0252 1.6429 2.9599 2.1398
420 210.0 1.5996 1.2705 1.5996 2.9760 2.1595
430 215.0 1.6705 0.2098 1.6705 2.8481 2.3558
440 220.0 1.6426 0.0273 1.6426 2.8740 2.3060
450 225.0 1.5424 5.7883 1.5424 2.9893 2.2660
