# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 481.9350 1.7182 2.5114 2.4126
10 5.0 2.3123 75.1486 2.3123 2.0400 2.2964
20 10.0 3.0008 45.2355 3.0008 1.5028 2.2150
30 15.0 2.7258 0.3327 2.7258 1.4915 1.5973
40 20.0 2.4624 28.2288 2.4624 1.8823 1.2827
50 25.0 2.4324 35.8086 2.4324 1.3326 1.7768
60 30.0 2.9277 25.9335 2.9277 1.2138 2.0102
70 35.0 2.9772 38.4229 2.9772 0.9374 2.2181
80 40.0 2.4554 29.9257 2.4554 1.2661 1.9726
90 45.0 2.4626 28.1822 2.4626 1.3523 1.9930
100 50.0 2.8039 5.3932 2.8039 0.9212 2.2250
110 55.0 2.7071 0.0252 2.7071 1.1583 1.8750
120 60.0 2.6248 2.8285 2.6248 1.1160 1.8303
130 65.0 2.8528 11.6756 2.8528 0.9549 2.0621
140 70.0 2.7158 0.1244 2.7158 1.0574 1.9218
150 75.0 2.4644 27.7587 2.4644 0.9760 1.8329
160 80.0 2.6402 1.7894 2.6402 1.0339 1.8312
170 85.0 2.9879 41.4539 2.9879 1.0203 2.0790
180 90.0 2.7563 1.5861 2.7563 1.0064 1.9524
190 95.0 2.4927 21.4842 2.4927 1.0960 1.8095
200 100.0 2.7802 3.2132 2.7802 0.9527 2.0761
210 105.0 2.6967 0.0053 2.6967 1.1048 1.9568
220 110.0 2.5352 13.5808 2.5352 0.9338 2.0802
230 115.0 2.6485 1.3248 2.6485 1.0733 2.1092
240 120.0 2.9322 26.9624 2.9322 0.9983 2.3755
250 125.0 2.8142 6.5199 2.8142 1.0308 2.3177
260 130.0 2.5707 8.3559 2.5707 1.0126 2.1522
270 135.0 2.6284 2.5620 2.6284 1.0392 2.0937
280 140.0 2.6796 0.2076 2.6796 1.0658 2.1326
290 145.0 2.7859 3.6874 2.7859 0.9869 2.3998
300 150.0 2.8016 5.1572 2.8016 0.9823 2.4355
310 155.0 2.7189 0.1777 2.7189 1.0573 2.2131
320 160.0 2.6470 1.4057 2.6470 1.0084 2.1810
330 165.0 2.7151 0.1144 2.7151 1.0571 2.3952
340 170.0 2.8173 6.8779 2.8173 0.9740 2.5994
