# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 821.4657 1.7182 2.5114 2.4126
10 5.0 2.4363 158.8609 2.4363 1.8901 2.3648
20 10.0 3.1432 10.2543 3.1432 1.4490 2.2408
30 15.0 3.0488 1.1885 3.0488 1.5782 2.6258
40 20.0 2.5927 82.9427 2.5927 1.8200 1.2701
50 25.0 3.1274 8.1216 3.1274 1.8067 1.8383
60 30.0 3.3368 56.7022 3.3368 1.1979 2.3549
70 35.0 2.5558 98.6498 2.5558 1.3422 1.8333
80 40.0 2.5200 115.1973 2.5200 1.4024 2.3574
90 45.0 3.3609 65.1352 3.3609 1.1784 2.2058
100 50.0 2.7933 21.3713 2.7933 1.2485 1.7365
110 55.0 2.6686 54.9034 2.6686 1.2096 1.6194
120 60.0 3.1773 15.7191 3.1773 1.0401 2.0365
130 65.0 3.1406 9.8887 3.1406 0.9824 2.1369
140 70.0 2.8026 19.4849 2.8026 1.3415 2.0475
150 75.0 2.8305 14.3670 2.8305 1.2411 2.2523
160 80.0 2.9258 2.7509 2.9258 0.9011 2.3344
170 85.0 2.8712 8.2956 2.8712 1.0832 2.1772
180 90.0 3.1528 11.6702 3.1528 0.9362 2.4067
190 95.0 3.1855 17.2011 3.1855 1.0517 2.3913
200 100.0 2.9461 1.4505 2.9461 0.9849 2.1292
210 105.0 3.0721 2.5969 3.0721 1.1596 2.0588
220 110.0 3.1814 16.4548 3.1814 0.9351 2.1193
230 115.0 2.7074 42.8098 2.7074 1.1865 1.7590
240 120.0 2.7444 32.6598 2.7444 1.1737 1.9353
250 125.0 3.2753 37.8948 3.2753 0.9839 2.5515
260 130.0 3.2844 40.4310 3.2844 1.1458 2.7393
270 135.0 2.8722 8.1627 2.8722 0.9550 2.5101
280 140.0 2.7119 41.5019 2.7119 0.9326 2.3477
290 145.0 2.6607 57.5711 2.6607 1.0517 2.2125
300 150.0 2.9934 0.0217 2.9934 0.9139 2.4195
310 155.0 3.0279 0.3898 3.0279 1.0964 2.4058
320 160.0 3.1255 7.8802 3.1255 0.9309 2.6183
330 165.0 3.1706 14.5563 3.1706 1.1432 2.4470
340 170.0 3.2096 21.9711 3.2096 0.9169 2.5137
350 175.0 2.8113 17.8009 2.8113 1.0995 2.3085
360 180.0 2.8408 12.6728 2.8408 0.9084 2.5152
370 185.0 2.7395 33.9251 2.7395 0.9883 2.5138
380 190.0 2.7362 34.8078 2.7362 1.0649 2.6274
390 195.0 2.9648 0.6191 2.9648 0.8866 2.7828
400 200.0 2.8764 7.6409 2.8764 1.1248 2.7302
410 205.0 3.1066 5.6831 3.1066 0.8975 2.7868
420 210.0 2.9414 1.7162 2.9414 1.1366 2.4609
430 215.0 3.1036 5.3706 3.1036 0.9239 2.5949
440 220.0 2.9340 2.1773 2.9340 1.0539 2.4902
450 225.0 2.9491 1.2965 2.9491 1.0105 2.3298
460 230.0 3.0319 0.5077 3.0319 0.9453 2.3666
470 235.0 2.9870 0.0847 2.9870 1.0811 2.3738
480 240.0 3.0836 3.4968 3.0836 0.8965 2.4008
490 245.0 2.8928 5.7460 2.8928 1.0633 2.1443
500 250.0 2.9375 1.9517 2.9375 0.9621 2.0923
510 255.0 2.8988 5.1227 2.8988 0.9794 2.0665
520 260.0 2.8549 10.5218 2.8549 1.0358 2.0493
530 265.0 2.9779 0.2448 2.9779 0.8981 2.1817
540 270.0 2.8494 11.3466 2.8494 1.0587 2.0870
550 275.0 3.0023 0.0028 3.0023 0.9314 2.2075
560 280.0 2.9737 0.3455 2.9737 1.0519 2.1205
570 285.0 3.0444 0.9868 3.0444 0.9949 2.1744
580 290.0 3.0039 0.0075 3.0039 1.0288 2.1614
590 295.0 2.9862 0.0954 2.9862 1.0200 2.2025
600 300.0 3.0202 0.2036 3.0202 0.9669 2.2644
610 305.0 2.9447 1.5313 2.9447 1.0548 2.2349
620 310.0 3.0589 1.7327 3.0589 0.9245 2.3444
630 315.0 2.9479 1.3588 2.9479 1.0715 2.2082
640 320.0 3.0811 3.2913 3.0811 0.9381 2.2509
650 325.0 2.9981 0.0018 2.9981 1.0482 2.0956
660 330.0 3.0161 0.1289 3.0161 0.9777 2.0711
670 335.0 2.9377 1.9419 2.9377 1.0080 2.0140
680 340.0 2.9667 0.5528 2.9667 0.9958 2.0377
690 345.0 2.9920 0.0316 2.9920 0.9865 2.0731
700 350.0 2.9963 0.0069 2.9963 1.0027 2.1067
710 355.0 2.9902 0.0479 2.9902 0.9699 2.1818
720 360.0 2.9292 2.5046 2.9292 1.0131 2.1760
730 365.0 2.9505 1.2272 2.9505 0.9542 2.2758
740 370.0 2.9526 1.1222 2.9526 1.0072 2.2815
750 375.0 3.0220 0.2413 3.0220 0.9650 2.3515
760 380.0 3.0024 0.0029 3.0024 0.9999 2.3477
770 385.0 2.9400 1.7973 2.9400 0.9726 2.4226
780 390.0 2.9093 4.1095 2.9093 0.9645 2.5032
790 395.0 2.9381 1.9161 2.9381 0.9698 2.5912
800 400.0 2.9815 0.1704 2.9815 0.9830 2.6641
810 405.0 3.0031 0.0048 3.0031 0.9681 2.6656
820 410.0 2.9965 0.0061 2.9965 0.9912 2.6458
830 415.0 3.0469 1.0976 3.0469 0.9751 2.6728
840 420.0 3.0000 0.0000 3.0000 0.9994 2.5852
850 425.0 2.9557 0.9833 2.9557 0.9663 2.5592
860 430.0 2.9321 2.3046 2.9321 0.9954 2.4736
870 435.0 2.9810 0.1814 2.9810 0.9453 2.4689
880 440.0 2.9261 2.7313 2.9261 1.0139 2.3619
890 445.0 2.9303 2.4266 2.9303 0.9485 2.3933
900 450.0 2.9540 1.0572 2.9540 1.0136 2.3370
910 455.0 3.0759 2.8832 3.0759 0.9546 2.4275
920 460.0 3.0206 0.2130 3.0206 0.9949 2.3623
930 465.0 2.9196 3.2296 2.9196 0.9713 2.2709
940 470.0 3.0022 0.0025 3.0022 1.0005 2.1928
950 475.0 3.0537 1.4438 3.0537 0.9889 2.2029
960 480.0 2.9541 1.0525 2.9541 1.0047 2.2036
970 485.0 2.9257 2.7608 2.9257 0.9638 2.2179
980 490.0 3.0154 0.1187 3.0154 1.0118 2.1749
990 495.0 3.0347 0.6023 3.0347 0.9677 2.1813
1000 500.0 2.9507 1.2132 2.9507 1.0163 2.1616
1010 505.0 3.1080 5.8292 3.1080 0.9796 2.2924
1020 510.0 3.1195 7.1399 3.1195 0.9823 2.2901
1030 515.0 2.8891 6.1492 2.8891 1.0063 2.1225
1040 520.0 2.8991 5.0875 2.8991 0.9448 2.0913
1050 525.0 3.0092 0.0424 3.0092 1.0158 2.0793
1060 530.0 3.0267 0.3558 3.0267 0.9537 2.1223
1070 535.0 2.9555 0.9899 2.9555 1.0293 2.0291
1080 540.0 3.0603 1.8181 3.0603 0.9697 2.1169
1090 545.0 3.0198 0.1965 3.0198 1.0046 2.0762
1100 550.0 2.9133 3.7563 2.9133 0.9766 2.0348
1110 555.0 2.9199 3.2067 2.9199 1.0087 2.0071
1120 560.0 3.0622 1.9318 3.0622 0.9808 2.1258
1130 565.0 3.0410 0.8409 3.0410 1.0176 2.1741
1140 570.0 2.9594 0.8247 2.9594 0.9710 2.2470
1150 575.0 3.0152 0.1149 3.0152 0.9986 2.3190
