# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 2380.0576 1.7182 2.5114 2.4126
10 5.0 3.1375 290.7196 3.1375 1.4411 2.4934
20 10.0 3.3302 162.3633 3.3302 1.5963 2.1102
30 15.0 3.3651 143.0853 3.3651 1.3906 2.2869
40 20.0 3.3418 155.7996 3.3418 1.5824 2.2328
50 25.0 3.3107 173.6407 3.3107 0.9667 2.5237
60 30.0 3.2452 214.3807 3.2452 1.6201 2.6377
70 35.0 3.2455 214.1864 3.2455 1.7521 2.3918
80 40.0 3.3326 160.9777 3.3326 2.0567 1.8534
90 45.0 3.1384 289.9816 3.1384 1.7993 1.6861
100 50.0 3.2010 244.3112 3.2010 1.7190 2.2061
110 55.0 3.3119 172.9017 3.3119 1.5105 2.2216
120 60.0 3.3620 144.7000 3.3620 1.7666 2.0972
130 65.0 3.4886 84.6153 3.4886 1.6303 2.1869
140 70.0 3.4513 100.6784 3.4513 1.8879 2.2241
150 75.0 3.3126 172.5416 3.3126 2.1463 1.7005
160 80.0 3.4918 83.2995 3.4918 2.0699 2.0178
170 85.0 3.4645 94.8149 3.4645 2.3451 2.1754
180 90.0 3.3549 148.5690 3.3549 2.1263 1.9267
190 95.0 3.4317 109.6631 3.4317 2.0892 2.3834
200 100.0 3.5158 73.7997 3.5158 2.2012 2.2327
210 105.0 3.3853 132.4602 3.3853 2.2224 1.8383
220 110.0 3.4097 120.1942 3.4097 2.1294 2.2271
230 115.0 3.4315 109.7330 3.4315 2.0219 2.0472
240 120.0 3.5345 66.7847 3.5345 2.1527 2.1984
250 125.0 3.5565 58.9859 3.5565 2.3477 2.1789
260 130.0 3.5165 73.5293 3.5165 2.0790 2.1177
270 135.0 3.5318 67.7726 3.5318 2.2549 2.2749
280 140.0 3.5257 70.0579 3.5257 2.1624 2.1019
290 145.0 3.4983 80.6710 3.4983 2.1931 2.2916
300 150.0 3.5444 63.2249 3.5444 2.2028 2.1704
310 155.0 3.5784 51.7030 3.5784 2.1138 2.2500
320 160.0 3.5757 52.5991 3.5757 1.9202 2.1598
330 165.0 3.4846 86.2642 3.4846 1.9821 2.3649
340 170.0 3.4748 90.3855 3.4748 2.1215 2.1306
350 175.0 3.4574 97.9460 3.4574 2.1215 2.4437
360 180.0 3.4886 84.6086 3.4886 2.0564 2.2167
370 185.0 3.5271 69.5416 3.5271 2.2278 2.4838
380 190.0 3.5497 61.3468 3.5497 2.0294 2.4020
390 195.0 3.5489 61.6282 3.5489 2.0797 2.4673
400 200.0 3.6002 44.9419 3.6002 2.2904 2.4476
410 205.0 3.5734 53.3299 3.5734 2.2606 2.3126
420 210.0 3.5570 58.8075 3.5570 2.1161 2.3561
430 215.0 3.5716 53.9273 3.5716 2.2752 2.2844
440 220.0 3.6105 41.9096 3.6105 2.4465 2.3616
450 225.0 3.5836 50.0672 3.5836 2.2945 2.3472
460 230.0 3.5547 59.6196 3.5547 2.1816 2.3280
470 235.0 3.5832 50.1945 3.5832 2.3324 2.2755
480 240.0 3.5836 50.0488 3.5836 2.3129 2.1175
490 245.0 3.5519 60.5984 3.5519 2.4339 2.2153
500 250.0 3.5463 62.5533 3.5463 2.4292 2.0772
510 255.0 3.6099 42.0772 3.6099 2.4947 2.1254
520 260.0 3.5768 52.2138 3.5768 2.4361 2.1324
530 265.0 3.5115 75.4559 3.5115 2.3296 2.0893
540 270.0 3.5168 73.4058 3.5168 2.2184 2.1836
550 275.0 3.5332 67.2843 3.5332 2.2016 2.0620
560 280.0 3.5446 63.1651 3.5446 2.4430 2.0687
570 285.0 3.5594 58.0000 3.5594 2.2698 1.9851
580 290.0 3.5966 46.0108 3.5966 2.2774 2.0485
590 295.0 3.5660 55.7655 3.5660 2.4984 2.1082
600 300.0 3.5723 53.6896 3.5723 2.4573 2.0793
610 305.0 3.5841 49.9065 3.5841 2.3758 2.0068
620 310.0 3.5747 52.9259 3.5747 2.4121 2.0196
630 315.0 3.5736 53.2659 3.5736 2.4550 1.9247
640 320.0 3.5949 46.5344 3.5949 2.4785 1.9731
650 325.0 3.5834 50.1147 3.5834 2.5138 2.0086
660 330.0 3.5467 62.4170 3.5467 2.4139 1.9391
670 335.0 3.5845 49.7550 3.5845 2.4210 1.9455
680 340.0 3.5520 60.5677 3.5520 2.4239 1.8351
690 345.0 3.5701 54.4283 3.5701 2.4690 1.8647
700 350.0 3.5844 49.8139 3.5844 2.4991 1.9031
710 355.0 3.5607 57.5542 3.5607 2.4907 1.8366
720 360.0 3.5775 52.0030 3.5775 2.4616 1.9366
730 365.0 3.5607 57.5785 3.5607 2.4937 1.8452
740 370.0 3.6042 43.7588 3.6042 2.5836 1.8787
750 375.0 3.6035 43.9544 3.6035 2.6823 1.8850
760 380.0 3.5882 48.6164 3.5882 2.6663 1.8822
770 385.0 3.5917 47.5292 3.5917 2.6188 1.9696
780 390.0 3.5643 56.3380 3.5643 2.4139 1.9163
790 395.0 3.5852 49.5405 3.5852 2.3983 1.9601
800 400.0 3.5909 47.7674 3.5909 2.5770 1.9729
810 405.0 3.5723 53.7074 3.5723 2.6342 1.9867
820 410.0 3.5590 58.1533 3.5590 2.6156 2.0114
830 415.0 3.5648 56.1763 3.5648 2.6110 2.0278
840 420.0 3.5723 53.7072 3.5723 2.4234 2.0384
850 425.0 3.5530 60.1975 3.5530 2.3248 2.0278
860 430.0 3.5409 64.4874 3.5409 2.3794 2.0208
870 435.0 3.5440 63.3837 3.5440 2.5308 2.0415
880 440.0 3.5255 70.1068 3.5255 2.5380 2.0482
890 445.0 3.5388 65.2303 3.5388 2.5614 2.0443
900 450.0 3.5666 55.5876 3.5666 2.4000 2.0404
910 455.0 3.5654 55.9748 3.5654 2.2416 2.0382
920 460.0 3.5627 56.8756 3.5627 2.2506 2.0201
930 465.0 3.5683 55.0055 3.5683 2.4588 2.0222
940 470.0 3.5523 60.4395 3.5523 2.5412 2.0531
950 475.0 3.5543 59.7491 3.5543 2.5724 2.0708
960 480.0 3.5498 61.3062 3.5498 2.4633 2.0802
970 485.0 3.5318 67.7753 3.5318 2.3978 2.0826
980 490.0 3.5266 69.7209 3.5266 2.4357 2.1308
990 495.0 3.5295 68.6289 3.5295 2.5574 2.1641
1000 500.0 3.5308 68.1407 3.5308 2.6670 2.1701
1010 505.0 3.5226 71.1989 3.5226 2.6086 2.1774
1020 510.0 3.5078 76.9205 3.5078 2.5847 2.1198
1030 515.0 3.5091 76.4104 3.5091 2.6141 2.2437
1040 520.0 3.5143 74.3679 3.5143 2.6286 2.1495
