# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 23.8124 1.7182 2.5114 2.4126
10 5.0 1.5451 1.0190 1.5451 2.6209 2.2524
20 10.0 1.3367 13.3303 1.3367 2.5920 2.0674
30 15.0 1.5930 4.3277 1.5930 2.6041 2.1394
40 20.0 1.5795 3.1587 1.5795 2.6388 2.2432
50 25.0 1.3736 7.9940 1.3736 2.7833 2.1229
60 30.0 1.5424 0.8985 1.5424 2.5790 2.1512
70 35.0 1.5747 2.7890 1.5747 2.5122 2.3102
80 40.0 1.3940 5.6142 1.3940 2.7060 2.2690
90 45.0 1.4779 0.2446 1.4779 2.5155 2.2669
100 50.0 1.4416 1.7027 1.4416 2.2947 2.3514
110 55.0 1.4904 0.0459 1.4904 2.2702 2.4574
120 60.0 1.5304 0.4632 1.5304 2.4025 2.3806
130 65.0 1.4894 0.0562 1.4894 2.5717 2.2529
140 70.0 1.4004 4.9642 1.4004 2.6599 2.3274
150 75.0 1.5549 1.5047 1.5549 2.5168 2.3203
160 80.0 1.5728 2.6477 1.5728 2.5280 2.2817
170 85.0 1.3953 5.4839 1.3953 2.7035 2.1760
180 90.0 1.5069 0.0235 1.5069 2.6086 2.1972
190 95.0 1.5946 4.4764 1.5946 2.4691 2.3143
200 100.0 1.4946 0.0147 1.4946 2.5333 2.3268
210 105.0 1.4411 1.7355 1.4411 2.5894 2.2394
220 110.0 1.5492 1.2106 1.5492 2.5091 2.3285
230 115.0 1.5512 1.3117 1.5512 2.5261 2.3205
240 120.0 1.4388 1.8711 1.4388 2.6402 2.2359
250 125.0 1.4913 0.0376 1.4913 2.6167 2.1899
260 130.0 1.5722 2.6087 1.5722 2.5501 2.1804
270 135.0 1.5150 0.1125 1.5150 2.6133 2.1806
280 140.0 1.4474 1.3848 1.4474 2.6795 2.2247
290 145.0 1.4994 0.0002 1.4994 2.6160 2.3089
300 150.0 1.5257 0.3312 1.5257 2.5924 2.3293
310 155.0 1.4942 0.0169 1.4942 2.6428 2.3012
320 160.0 1.4778 0.2458 1.4778 2.6602 2.2611
330 165.0 1.4831 0.1434 1.4831 2.6387 2.2561
