# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 2064.0423 1.7182 2.5114 2.4126
10 5.0 2.8998 361.4204 2.8998 1.5278 2.3975
20 10.0 3.1433 184.0451 3.1433 1.6153 2.5466
30 15.0 3.4117 57.2294 3.4117 1.6486 2.3276
40 20.0 3.1737 166.0590 3.1737 1.4426 1.9546
50 25.0 3.2336 133.3542 3.2336 1.3802 2.3502
60 30.0 2.8340 419.5499 2.8340 2.4642 1.4894
70 35.0 3.1260 194.7100 3.1260 1.7706 2.0723
80 40.0 3.0378 253.6107 3.0378 1.2626 2.1400
90 45.0 2.6332 623.6754 2.6332 2.1054 1.2028
100 50.0 2.9923 287.0184 2.9923 2.0358 2.5501
110 55.0 2.7603 489.7618 2.7603 2.1010 2.3962
120 60.0 2.7631 486.9710 2.7631 1.2122 2.4091
130 65.0 3.0654 234.3139 3.0654 1.3836 2.7478
140 70.0 2.8750 382.8143 2.8750 1.7621 1.8256
150 75.0 3.4123 57.0352 3.4123 0.9919 2.0462
160 80.0 3.1101 204.7354 3.1101 1.1693 2.2042
170 85.0 3.1750 165.3280 3.1750 0.9700 2.5904
180 90.0 3.2631 118.5376 3.2631 0.9004 2.4770
190 95.0 3.1888 157.4631 3.1888 1.0494 2.4637
200 100.0 3.2451 127.4629 3.2451 1.0993 2.6632
210 105.0 3.2238 138.4189 3.2238 0.9319 2.5923
220 110.0 3.2243 138.2002 3.2243 1.1791 2.5469
230 115.0 3.3281 88.9848 3.3281 0.9115 2.5694
240 120.0 3.3467 81.3365 3.3467 1.0179 2.4992
250 125.0 3.3960 62.6512 3.3960 1.1160 2.5080
260 130.0 3.3872 65.7945 3.3872 0.8633 2.5594
270 135.0 3.4156 55.9126 3.4156 1.1554 2.5264
280 140.0 3.4812 36.1378 3.4812 0.8974 2.6238
290 145.0 3.4643 40.8046 3.4643 1.0308 2.5685
300 150.0 3.4475 45.7510 3.4475 1.0216 2.5437
310 155.0 3.4560 43.2290 3.4560 0.9841 2.5624
320 160.0 3.4559 43.2377 3.4559 1.0611 2.5390
330 165.0 3.4563 43.1377 3.4563 0.9358 2.5326
340 170.0 3.4444 46.6985 3.4444 1.1115 2.5339
350 175.0 3.4373 48.8983 3.4373 0.9926 2.5179
360 180.0 3.4321 50.5341 3.4321 1.0158 2.5160
370 185.0 3.4331 50.2057 3.4331 1.0573 2.5349
380 190.0 3.4322 50.5004 3.4322 0.9829 2.4944
390 195.0 3.4283 51.7514 3.4283 1.1368 2.4556
400 200.0 3.4107 57.5583 3.4107 1.0360 2.5686
410 205.0 3.4203 54.3381 3.4203 1.0289 2.5730
420 210.0 3.4155 55.9540 3.4155 1.1624 2.4912
430 215.0 3.4101 57.7606 3.4101 1.0479 2.5675
440 220.0 3.3881 65.5020 3.3881 1.0039 2.6132
450 225.0 3.4248 52.8620 3.4248 1.0307 2.6158
460 230.0 3.4260 52.4865 3.4260 0.9965 2.6097
470 235.0 3.4227 53.5617 3.4227 1.0646 2.5973
480 240.0 3.4416 47.5640 3.4416 1.0077 2.5874
490 245.0 3.4336 50.0456 3.4336 1.0038 2.5508
500 250.0 3.4494 45.1927 3.4494 1.0776 2.4675
510 255.0 3.4560 43.2094 3.4560 0.9606 2.4976
520 260.0 3.4678 39.8296 3.4678 1.0434 2.4143
530 265.0 3.4140 56.4591 3.4140 1.0455 2.4751
540 270.0 3.4541 43.7766 3.4541 1.0075 2.4202
550 275.0 3.4342 49.8762 3.4342 1.0239 2.3615
560 280.0 3.4379 48.6983 3.4379 1.0243 2.4929
570 285.0 3.4482 45.5350 3.4482 0.9573 2.4393
580 290.0 3.4288 51.5756 3.4288 1.0710 2.4914
590 295.0 3.4586 42.4709 3.4586 0.9485 2.4738
600 300.0 3.4806 36.2975 3.4806 1.0228 2.4764
