# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 821.4657 1.7182 2.5114 2.4126
10 5.0 2.3789 192.9043 2.3789 1.9362 2.3505
20 10.0 3.2038 20.7619 3.2038 1.5466 2.1747
30 15.0 3.0262 0.3436 3.0262 1.2273 2.6459
40 20.0 2.7440 32.7684 2.7440 1.3018 1.9465
50 25.0 3.2212 24.4630 3.2212 1.6428 1.9660
60 30.0 2.9629 0.6877 2.9629 1.5837 1.7788
70 35.0 2.7349 35.1403 2.7349 1.0066 2.0396
80 40.0 2.7946 21.0925 2.7946 1.3024 1.8209
90 45.0 3.1181 6.9758 3.1181 1.6504 1.7955
100 50.0 3.0485 1.1771 3.0485 1.3983 1.8290
110 55.0 2.8397 12.8465 2.8397 0.8597 2.0857
120 60.0 2.8110 17.8694 2.8110 1.3448 1.8780
130 65.0 3.3450 59.5108 3.3450 0.8998 2.4139
140 70.0 2.9498 1.2582 2.9498 1.2097 2.2598
150 75.0 2.7800 24.2063 2.7800 0.9608 2.1693
160 80.0 3.0710 2.5214 3.0710 1.2048 2.0944
170 85.0 3.1101 6.0653 3.1101 1.1552 2.1180
180 90.0 2.8229 15.6788 2.8229 1.0175 2.1086
190 95.0 2.9523 1.1355 2.9523 1.1308 2.2104
200 100.0 3.2876 41.3544 3.2876 0.9772 2.4942
210 105.0 3.0742 2.7540 3.0742 1.0619 2.3411
220 110.0 2.7324 35.8034 2.7324 0.9899 2.3682
230 115.0 2.9854 0.1063 2.9854 0.9532 2.5389
240 120.0 3.1516 11.4876 3.1516 1.0169 2.5330
250 125.0 2.8372 13.2467 2.8372 0.9724 2.3747
260 130.0 2.7481 31.7306 2.7481 0.9695 2.3710
270 135.0 3.0782 3.0578 3.0782 1.0153 2.5436
280 140.0 3.2312 26.7340 3.2312 0.9577 2.5429
290 145.0 2.8170 16.7423 2.8170 1.0339 2.4093
300 150.0 2.8437 12.2215 2.8437 0.9009 2.4608
310 155.0 3.0427 0.9116 3.0427 1.0705 2.4641
320 160.0 3.2033 20.6753 3.2033 0.9175 2.6827
330 165.0 2.9595 0.8204 2.9595 1.0872 2.4396
340 170.0 2.9239 2.8964 2.9239 0.9088 2.5297
350 175.0 3.0486 1.1822 3.0486 1.0765 2.4735
360 180.0 3.1877 17.6152 3.1877 0.9165 2.6545
370 185.0 2.9976 0.0030 2.9976 1.0654 2.3958
380 190.0 2.8816 7.0075 2.8816 0.9215 2.3877
390 195.0 3.0324 0.5247 3.0324 1.0773 2.3624
400 200.0 3.1842 16.9647 3.1842 0.9218 2.5725
410 205.0 3.0684 2.3415 3.0684 1.0372 2.4026
420 210.0 2.8552 10.4818 2.8552 0.9636 2.3426
430 215.0 2.9880 0.0725 2.9880 0.9965 2.4702
440 220.0 3.1682 14.1389 3.1682 0.9732 2.6244
450 225.0 3.0725 2.6311 3.0725 1.0129 2.5510
460 230.0 2.9725 0.3791 2.9725 0.9470 2.5951
470 235.0 2.9842 0.1244 2.9842 1.0098 2.6672
480 240.0 3.0906 4.1020 3.0906 0.9664 2.7715
490 245.0 3.0810 3.2806 3.0810 1.0344 2.6998
500 250.0 3.0834 3.4808 3.0834 0.9415 2.7429
510 255.0 2.9732 0.3598 2.9732 1.0217 2.6842
520 260.0 3.0070 0.0246 3.0070 0.9557 2.7633
530 265.0 2.9860 0.0981 2.9860 0.9978 2.7022
540 270.0 3.0112 0.0623 3.0112 0.9871 2.7201
550 275.0 3.0628 1.9737 3.0628 0.9804 2.8417
560 280.0 3.0371 0.6886 3.0371 1.0296 2.9226
570 285.0 2.9873 0.0806 2.9873 0.9598 2.8089
580 290.0 2.8966 5.3508 2.8966 0.9992 2.7537
590 295.0 3.0046 0.0104 3.0046 0.9518 2.8637
600 300.0 3.0360 0.6478 3.0360 1.0360 2.8732
610 305.0 3.0744 2.7703 3.0744 0.9434 2.8370
620 310.0 2.9767 0.2717 2.9767 1.0188 2.6656
630 315.0 2.9633 0.6729 2.9633 0.9463 2.6823
640 320.0 2.9659 0.5831 2.9659 1.0154 2.6327
650 325.0 3.0087 0.0381 3.0087 0.9589 2.6345
660 330.0 3.0187 0.1740 3.0187 1.0010 2.5790
670 335.0 3.0433 0.9373 3.0433 0.9716 2.5940
680 340.0 3.0475 1.1301 3.0475 1.0146 2.5793
690 345.0 3.0303 0.4588 3.0303 0.9953 2.5543
700 350.0 3.0140 0.0982 3.0140 0.9728 2.4941
710 355.0 3.0477 1.1361 3.0477 1.0159 2.4370
720 360.0 3.0682 2.3290 3.0682 0.9724 2.4519
730 365.0 2.9520 1.1511 2.9520 1.0189 2.3288
740 370.0 2.9195 3.2365 2.9195 0.9497 2.3052
750 375.0 2.9701 0.4473 2.9701 1.0339 2.2539
760 380.0 3.1019 5.1920 3.1019 0.9440 2.4041
770 385.0 3.0277 0.3825 3.0277 1.0563 2.3340
780 390.0 3.0127 0.0801 3.0127 0.9339 2.3974
790 395.0 2.9244 2.8581 2.9244 1.0415 2.3184
800 400.0 3.0414 0.8560 3.0414 0.9329 2.4610
810 405.0 2.9965 0.0061 2.9965 1.0493 2.4831
820 410.0 3.0965 4.6544 3.0965 0.9614 2.6380
830 415.0 3.0513 1.3179 3.0513 1.0694 2.5880
840 420.0 3.0665 2.2109 3.0665 0.9462 2.6194
850 425.0 2.9275 2.6246 2.9275 1.0222 2.5601
860 430.0 2.9409 1.7455 2.9409 0.9851 2.5427
870 435.0 3.0080 0.0318 3.0080 0.9834 2.4665
880 440.0 3.0513 1.3152 3.0513 1.0355 2.4016
890 445.0 2.9764 0.2793 2.9764 0.9961 2.3861
900 450.0 2.8930 5.7200 2.8930 1.0300 2.3419
910 455.0 3.0476 1.1307 3.0476 0.9705 2.4226
920 460.0 3.1192 7.1094 3.1192 1.0453 2.5738
930 465.0 2.9257 2.7608 2.9257 0.9813 2.7641
940 470.0 2.8598 9.8232 2.8598 1.0093 2.5918
950 475.0 3.0828 3.4318 3.0828 1.0045 2.7202
960 480.0 3.0600 1.7974 3.0600 1.0136 2.6690
970 485.0 2.9575 0.9013 2.9575 0.9634 2.5023
980 490.0 2.9355 2.0781 2.9355 1.0094 2.3930
990 495.0 3.0855 3.6558 3.0855 0.9643 2.4519
1000 500.0 3.0701 2.4552 3.0701 1.0259 2.4016
1010 505.0 3.0219 0.2397 3.0219 0.9675 2.3905
1020 510.0 2.9365 2.0185 2.9365 0.9838 2.3616
1030 515.0 2.9200 3.2010 2.9200 0.9609 2.4146
1040 520.0 2.9321 2.3044 2.9321 0.9664 2.4448
1050 525.0 2.9723 0.3823 2.9723 0.9802 2.4499
1060 530.0 3.0204 0.2076 3.0204 0.9798 2.4754
1070 535.0 3.0178 0.1592 3.0178 0.9983 2.4920
1080 540.0 3.0367 0.6723 3.0367 0.9719 2.5243
1090 545.0 2.9865 0.0915 2.9865 0.9945 2.4871
1100 550.0 2.9878 0.0743 2.9878 0.9685 2.5188
1110 555.0 2.9787 0.2273 2.9787 0.9870 2.5344
1120 560.0 3.0300 0.4503 3.0300 0.9720 2.5831
1130 565.0 3.0524 1.3711 3.0524 1.0062 2.6137
1140 570.0 3.0475 1.1277 3.0475 0.9847 2.6183
1150 575.0 3.0100 0.0499 3.0100 0.9911 2.5791
1160 580.0 3.0094 0.0438 3.0094 0.9724 2.5796
1170 585.0 3.0050 0.0124 3.0050 0.9875 2.5841
1180 590.0 3.0187 0.1745 3.0187 0.9858 2.6275
1190 595.0 3.0180 0.1618 3.0180 0.9950 2.6443
1200 600.0 3.0334 0.5590 3.0334 0.9877 2.6562
1210 605.0 3.0165 0.1354 3.0165 0.9925 2.6399
1220 610.0 3.0178 0.1588 3.0178 0.9785 2.6704
1230 615.0 3.0403 0.8116 3.0403 1.0108 2.6281
1240 620.0 3.1116 6.2265 3.1116 0.9997 2.6145
1250 625.0 3.0448 1.0031 3.0448 1.0095 2.5557
1260 630.0 2.9863 0.0938 2.9863 0.9807 2.5608
1270 635.0 3.0083 0.0346 3.0083 1.0082 2.5802
1280 640.0 3.1052 5.5359 3.1052 1.0188 2.6835
1290 645.0 3.1187 7.0416 3.1187 1.0105 2.7443
1300 650.0 2.9861 0.0972 2.9861 1.0161 2.6089
1310 655.0 2.9571 0.9204 2.9571 0.9898 2.5216
1320 660.0 3.1041 5.4155 3.1041 1.0205 2.5444
1330 665.0 3.1078 5.8135 3.1078 0.9813 2.5637
1340 670.0 2.9288 2.5314 2.9288 1.0241 2.5125
1350 675.0 2.9704 0.4387 2.9704 0.9874 2.6243
1360 680.0 3.0812 3.2950 3.0812 1.0253 2.6329
1370 685.0 3.0471 1.1096 3.0471 1.0036 2.5985
1380 690.0 2.9154 3.5813 2.9154 1.0124 2.6486
1390 695.0 3.0011 0.0006 3.0011 1.0501 2.6293
1400 700.0 3.0967 4.6794 3.0967 0.9912 2.5714
1410 705.0 3.0428 0.9164 3.0428 1.0288 2.4471
1420 710.0 2.8896 6.0941 2.8896 0.9933 2.3973
1430 715.0 2.9831 0.1430 2.9831 1.0201 2.5226
1440 720.0 3.1124 6.3166 3.1124 1.0144 2.6375
1450 725.0 3.0764 2.9169 3.0764 1.0027 2.6673
1460 730.0 2.9414 1.7189 2.9414 1.0409 2.6178
1470 735.0 3.0138 0.0958 3.0138 0.9438 2.6838
1480 740.0 3.0658 2.1623 3.0658 1.0805 2.6417
1490 745.0 3.0615 1.8898 3.0615 0.9786 2.6878
1500 750.0 2.9692 0.4736 2.9692 1.0299 2.7695
1510 755.0 2.9395 1.8297 2.9395 0.9790 2.7373
1520 760.0 3.0002 0.0000 3.0002 1.0234 2.6036
1530 765.0 3.0173 0.1492 3.0173 1.0252 2.5513
1540 770.0 2.9484 1.3321 2.9484 0.9769 2.6071
1550 775.0 2.9232 2.9525 2.9232 1.0167 2.6206
1560 780.0 3.0206 0.2132 3.0206 0.9881 2.5827
1570 785.0 3.0006 0.0002 3.0006 1.0488 2.6352
1580 790.0 2.9299 2.4562 2.9299 0.9532 2.7606
1590 795.0 2.9765 0.2770 2.9765 1.0630 2.6621
1600 800.0 3.0655 2.1462 3.0655 0.9498 2.7282
1610 805.0 3.0023 0.0026 3.0023 1.0546 2.6752
1620 810.0 2.9702 0.4429 2.9702 0.9350 2.7480
1630 815.0 3.0440 0.9667 3.0440 1.0437 2.5879
1640 820.0 3.0770 2.9645 3.0770 0.9429 2.5572
1650 825.0 2.9634 0.6693 2.9634 1.0369 2.6217
1660 830.0 2.9413 1.7254 2.9413 0.9426 2.6891
1670 835.0 3.0486 1.1798 3.0486 1.0588 2.6183
1680 840.0 3.0805 3.2433 3.0805 0.9589 2.6335
1690 845.0 2.9568 0.9331 2.9568 1.0565 2.7242
1700 850.0 2.9899 0.0511 2.9899 0.9432 2.7118
1710 855.0 3.0210 0.2210 3.0210 1.0511 2.6781
1720 860.0 3.0417 0.8714 3.0417 0.9629 2.6841
1730 865.0 2.9842 0.1249 2.9842 1.0226 2.7371
1740 870.0 3.0062 0.0194 3.0062 0.9559 2.8050
1750 875.0 3.0354 0.6272 3.0354 1.0308 2.7502
1760 880.0 3.0628 1.9745 3.0628 0.9627 2.7220
1770 885.0 2.9544 1.0399 2.9544 1.0289 2.6221
1780 890.0 3.0227 0.2570 3.0227 0.9625 2.6923
1790 895.0 3.0685 2.3475 3.0685 1.0430 2.7205
1800 900.0 3.0737 2.7138 3.0737 1.0208 2.7555
1810 905.0 3.0079 0.0309 3.0079 1.0094 2.6912
1820 910.0 2.9828 0.1476 2.9828 0.9817 2.6710
1830 915.0 3.0490 1.2023 3.0490 1.0074 2.7424
1840 920.0 3.1347 9.0717 3.1347 1.0220 2.7245
1850 925.0 3.0347 0.6005 3.0347 0.9976 2.7992
1860 930.0 2.9408 1.7510 2.9408 0.9832 2.7120
1870 935.0 3.0309 0.4784 3.0309 0.9938 2.7562
1880 940.0 3.1033 5.3345 3.1033 1.0229 2.6816
1890 945.0 3.0875 3.8303 3.0875 1.0093 2.6142
1900 950.0 2.9515 1.1757 2.9515 0.9895 2.6025
1910 955.0 2.9648 0.6205 2.9648 0.9882 2.7588
1920 960.0 3.1258 7.9159 3.1258 1.0206 2.7878
1930 965.0 3.0449 1.0062 3.0449 0.9764 2.7924
1940 970.0 2.9020 4.7989 2.9020 1.0366 2.7015
1950 975.0 3.0035 0.0063 3.0035 0.9768 2.7943
1960 980.0 3.0725 2.6250 3.0725 1.0387 2.8357
1970 985.0 2.9812 0.1771 2.9812 0.9784 2.8125
