# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 1250.9963 1.7182 2.5114 2.4126
10 5.0 2.7276 163.7972 2.7276 1.6906 2.4725
20 10.0 3.0417 33.3573 3.0417 1.1961 2.3604
30 15.0 3.3800 3.2037 3.3800 1.0671 2.4762
40 20.0 3.3662 2.1908 3.3662 1.4526 2.4626
50 25.0 3.0114 41.6359 3.0114 1.3858 2.4818
60 30.0 3.1507 11.1435 3.1507 1.0039 2.2893
70 35.0 2.8803 88.0928 2.8803 1.1468 2.1700
80 40.0 3.2124 3.8409 3.2124 1.0319 2.5079
90 45.0 2.9427 63.8215 2.9427 1.0105 2.7809
100 50.0 3.2625 0.7037 3.2625 1.0378 2.4944
110 55.0 3.2363 2.0268 3.2363 0.9609 2.4546
120 60.0 2.9723 53.7059 2.9723 1.0700 2.7966
130 65.0 3.1047 19.0734 3.1047 0.9188 2.7047
140 70.0 3.2888 0.0625 3.2888 1.1307 2.3365
150 75.0 3.1346 13.6752 3.1346 0.9515 2.3451
160 80.0 3.2053 4.4881 3.2053 1.0159 2.4358
170 85.0 3.2627 0.6944 3.2627 1.0638 2.4105
180 90.0 3.2758 0.2917 3.2758 0.8940 2.5485
190 95.0 3.2297 2.4720 3.2297 1.1342 2.3663
200 100.0 3.1965 5.3538 3.1965 0.8995 2.7823
210 105.0 2.9678 55.1841 2.9678 1.0362 2.7729
220 110.0 3.3201 0.2012 3.3201 1.0117 2.6710
230 115.0 3.3315 0.4961 3.3315 1.0162 2.7153
240 120.0 3.1813 7.0460 3.1813 1.0249 2.8812
250 125.0 3.2959 0.0086 3.2959 0.9633 2.9011
260 130.0 3.1462 11.8209 3.1462 1.0619 2.7251
270 135.0 3.2885 0.0665 3.2885 0.9310 2.9399
280 140.0 3.0917 21.7011 3.0917 1.0875 2.7982
290 145.0 3.2060 4.4192 3.2060 0.9396 2.7736
300 150.0 3.2193 3.2575 3.2193 1.1484 2.8559
310 155.0 3.2355 2.0818 3.2355 0.9176 2.6925
320 160.0 3.2840 0.1272 3.2840 1.0658 2.5691
330 165.0 3.2756 0.2973 3.2756 0.9827 2.7292
340 170.0 3.1969 5.3196 3.1969 1.0420 2.7872
350 175.0 3.2638 0.6545 3.2638 1.0192 2.6065
360 180.0 3.2561 0.9636 3.2561 0.9619 2.5935
370 185.0 3.1395 12.8839 3.1395 1.0651 2.7903
380 190.0 3.1665 8.9177 3.1665 0.9034 2.7740
390 195.0 3.1536 10.7200 3.1536 1.0895 2.8336
400 200.0 3.1568 10.2515 3.1568 0.9168 2.7530
410 205.0 3.1701 8.4393 3.1701 1.0659 2.7831
420 210.0 3.1675 8.7793 3.1675 0.9559 2.8353
430 215.0 3.1780 7.4409 3.1780 1.0066 2.7698
440 220.0 3.2217 3.0619 3.2217 1.0066 2.6363
450 225.0 3.2145 3.6557 3.2145 0.9648 2.6743
460 230.0 3.1056 18.8885 3.1056 1.0537 2.7715
470 235.0 3.1717 8.2268 3.1717 0.9691 2.8108
480 240.0 3.2111 3.9478 3.2111 1.0589 2.7491
490 245.0 3.2151 3.6008 3.2151 0.9425 2.7644
500 250.0 3.1242 15.4614 3.1242 1.0261 2.6523
510 255.0 3.2139 3.7087 3.2139 0.9686 2.6876
520 260.0 3.2225 3.0030 3.2225 1.0305 2.7019
530 265.0 3.2184 3.3316 3.2184 0.9978 2.7022
540 270.0 3.2381 1.9173 3.2381 1.0112 2.6561
550 275.0 3.2615 0.7397 3.2615 0.9888 2.6874
560 280.0 3.2909 0.0410 3.2909 0.9875 2.7732
570 285.0 3.2880 0.0724 3.2880 1.0106 2.7625
580 290.0 3.2631 0.6797 3.2631 0.9917 2.6736
590 295.0 3.2545 1.0341 3.2545 1.0354 2.6433
600 300.0 3.2669 0.5478 3.2669 0.9664 2.7096
610 305.0 3.2576 0.9004 3.2576 1.0358 2.6504
620 310.0 3.2434 1.5996 3.2434 0.9723 2.5764
630 315.0 3.2171 3.4380 3.2171 1.0448 2.5660
640 320.0 3.2988 0.0007 3.2988 1.0331 2.7565
650 325.0 3.2785 0.2308 3.2785 0.9866 2.8652
660 330.0 3.2901 0.0486 3.2901 1.0191 2.8953
670 335.0 3.2921 0.0312 3.2921 0.9915 2.7278
680 340.0 3.2311 2.3727 3.2311 1.0283 2.6076
690 345.0 3.2465 1.4336 3.2465 0.9875 2.5870
700 350.0 3.2427 1.6390 3.2427 1.0130 2.5648
710 355.0 3.2590 0.8404 3.2590 1.0055 2.5746
720 360.0 3.2555 0.9904 3.2555 1.0261 2.5756
730 365.0 3.2666 0.5576 3.2666 0.9995 2.6263
740 370.0 3.2680 0.5117 3.2680 1.0354 2.6856
750 375.0 3.2457 1.4748 3.2457 0.9772 2.7274
760 380.0 3.2478 1.3639 3.2478 1.0458 2.6092
770 385.0 3.2315 2.3451 3.2315 0.9684 2.4720
780 390.0 3.2112 3.9396 3.2112 1.0168 2.4767
790 395.0 3.2186 3.3111 3.2186 1.0016 2.6098
800 400.0 3.2125 3.8274 3.2125 1.0625 2.6575
810 405.0 3.1739 7.9460 3.1739 0.9747 2.6423
820 410.0 3.2041 4.5942 3.2041 1.0583 2.7082
830 415.0 3.1816 7.0064 3.1816 0.9787 2.8161
840 420.0 3.2221 3.0361 3.2221 1.0470 2.8375
850 425.0 3.1990 5.1050 3.1990 0.9992 2.8070
860 430.0 3.1957 5.4351 3.1957 1.0425 2.8554
870 435.0 3.2015 4.8551 3.2015 1.0540 2.9513
880 440.0 3.1827 6.8814 3.1827 1.0107 2.9221
890 445.0 3.1532 10.7800 3.1532 1.0197 2.8192
900 450.0 3.1557 10.4150 3.1557 1.0178 2.8252
910 455.0 3.1919 5.8384 3.1919 1.0512 2.9489
920 460.0 3.2127 3.8125 3.2127 1.0454 3.0094
930 465.0 3.1993 5.0735 3.1993 1.0330 2.9729
940 470.0 3.2164 3.4924 3.2164 1.0601 2.9430
950 475.0 3.1669 8.8521 3.1669 1.0024 2.8709
960 480.0 3.2110 3.9633 3.2110 1.0663 2.8909
970 485.0 3.1904 6.0093 3.1904 1.0243 2.9386
980 490.0 3.2078 4.2522 3.2078 1.0179 2.9021
990 495.0 3.2089 4.1496 3.2089 1.0436 2.8816
1000 500.0 3.1397 12.8415 3.1397 0.9969 2.8997
1010 505.0 3.1696 8.5039 3.1696 1.0065 2.9565
1020 510.0 3.2371 1.9776 3.2371 1.0284 2.7681
1030 515.0 3.2219 3.0491 3.2219 1.0110 2.7831
1040 520.0 3.2256 2.7690 3.2256 1.0324 2.8533
1050 525.0 3.1910 5.9389 3.1910 1.0306 2.7289
1060 530.0 3.1814 7.0381 3.1814 1.0082 2.7542
1070 535.0 3.1838 6.7517 3.1838 1.0495 2.7838
1080 540.0 3.1444 12.1056 3.1444 0.9944 2.6929
1090 545.0 3.1605 9.7248 3.1605 1.0541 2.7947
1100 550.0 3.1419 12.4951 3.1419 1.0083 2.7506
1110 555.0 3.1024 19.5305 3.1024 1.0213 2.6109
1120 560.0 3.1348 13.6383 3.1348 1.0012 2.7388
1130 565.0 3.1520 10.9510 3.1520 1.0798 2.8180
1140 570.0 3.1460 11.8631 3.1460 1.0551 2.8056
1150 575.0 3.1132 17.4551 3.1132 1.0134 2.6837
1160 580.0 3.1335 13.8592 3.1335 1.0344 2.8086
1170 585.0 3.1434 12.2660 3.1434 1.0618 2.8588
1180 590.0 3.1292 14.5858 3.1292 1.0770 2.8035
1190 595.0 3.1376 13.1806 3.1376 1.0383 2.9160
1200 600.0 3.1919 5.8386 3.1919 1.1294 2.9305
1210 605.0 3.1545 10.5891 3.1545 1.0451 2.9061
1220 610.0 3.2018 4.8246 3.2018 1.0757 2.9536
1230 615.0 3.2176 3.3944 3.2176 1.0989 2.9483
1240 620.0 3.1902 6.0239 3.1902 1.0309 2.9215
1250 625.0 3.1980 5.2042 3.1980 1.1257 2.9482
1260 630.0 3.1739 7.9473 3.1739 1.0734 2.9603
1270 635.0 3.1586 9.9986 3.1586 1.0457 2.8713
1280 640.0 3.1793 7.2784 3.1793 1.0913 2.7501
1290 645.0 3.1379 13.1444 3.1379 0.9847 2.7494
1300 650.0 3.1972 5.2836 3.1972 1.0827 2.8260
1310 655.0 3.1768 7.5841 3.1768 0.9440 2.8925
1320 660.0 3.1406 12.6994 3.1406 1.0493 2.9313
1330 665.0 3.1893 6.1300 3.1893 0.9564 2.8800
1340 670.0 3.2142 3.6823 3.2142 1.0583 2.8590
1350 675.0 3.1731 8.0494 3.1731 0.9708 2.8276
1360 680.0 3.1698 8.4718 3.1698 1.0582 2.8543
1370 685.0 3.1256 15.2158 3.1256 0.9681 2.9299
1380 690.0 3.1410 12.6433 3.1410 1.0448 2.9189
1390 695.0 3.1497 11.2981 3.1497 0.9879 2.8913
1400 700.0 3.1855 6.5581 3.1855 1.0794 2.8977
1410 705.0 3.1580 10.0851 3.1580 0.9736 2.9773
1420 710.0 3.1889 6.1708 3.1889 1.0886 2.9079
1430 715.0 3.1680 8.7105 3.1680 0.9696 2.9866
1440 720.0 3.1681 8.7041 3.1681 1.0633 2.9717
1450 725.0 3.1818 6.9861 3.1818 0.9963 2.9627
1460 730.0 3.2088 4.1592 3.2088 1.1056 3.0062
1470 735.0 3.1431 12.3146 3.1431 0.9732 2.9660
1480 740.0 3.2490 1.2991 3.2490 1.1189 2.9423
1490 745.0 3.1804 7.1536 3.1804 0.9631 2.9324
1500 750.0 3.2253 2.7902 3.2253 1.1213 2.8557
1510 755.0 3.1870 6.3797 3.1870 0.9450 2.8858
1520 760.0 3.2781 0.2390 3.2781 1.1631 2.9655
1530 765.0 3.2439 1.5761 3.2439 1.0277 3.0145
1540 770.0 3.2740 0.3382 3.2740 1.0677 3.0101
1550 775.0 3.2848 0.1150 3.2848 1.0756 2.9705
1560 780.0 3.2526 1.1213 3.2526 0.9896 2.8916
1570 785.0 3.2721 0.3893 3.2721 1.1081 2.8618
1580 790.0 3.2280 2.5925 3.2280 0.9604 2.8949
1590 795.0 3.2782 0.2376 3.2782 1.0881 2.8633
1600 800.0 3.2152 3.5995 3.2152 0.9663 2.7203
1610 805.0 3.2007 4.9345 3.2007 1.0622 2.7144
1620 810.0 3.1845 6.6755 3.1845 0.9672 2.7555
1630 815.0 3.1899 6.0626 3.1899 1.0737 2.7107
1640 820.0 3.1542 10.6285 3.1542 0.9600 2.6739
1650 825.0 3.1691 8.5738 3.1691 1.0769 2.6764
1660 830.0 3.1351 13.5984 3.1351 0.9679 2.7042
1670 835.0 3.1648 9.1403 3.1648 1.0702 2.6777
1680 840.0 3.1289 14.6348 3.1289 0.9675 2.6802
1690 845.0 3.1654 9.0645 3.1654 1.0837 2.6627
1700 850.0 3.1296 14.5169 3.1296 0.9786 2.6778
1710 855.0 3.1620 9.5160 3.1620 1.0759 2.6135
1720 860.0 3.1450 12.0073 3.1450 0.9689 2.6644
1730 865.0 3.2072 4.3105 3.2072 1.0985 2.7407
1740 870.0 3.1935 5.6669 3.1935 1.0289 2.7894
1750 875.0 3.2099 4.0566 3.2099 1.0412 2.7752
1760 880.0 3.2233 2.9443 3.2233 1.0829 2.7263
1770 885.0 3.2084 4.1959 3.2084 0.9973 2.7289
1780 890.0 3.2443 1.5503 3.2443 1.1322 2.7712
1790 895.0 3.1797 7.2303 3.1797 0.9737 2.8951
1800 900.0 3.2775 0.2523 3.2775 1.1322 2.9880
1810 905.0 3.2092 4.1182 3.2092 0.9959 2.9051
1820 910.0 3.2251 2.8065 3.2251 1.0835 2.7104
1830 915.0 3.2132 3.7685 3.2132 1.0568 2.6635
1840 920.0 3.2221 3.0365 3.2221 1.0181 2.7307
1850 925.0 3.2642 0.6423 3.2642 1.1288 2.8516
1860 930.0 3.1633 9.3496 3.1633 0.9773 2.9563
1870 935.0 3.2231 2.9557 3.2231 1.0884 2.9124
1880 940.0 3.2334 2.2154 3.2334 1.0021 2.8421
1890 945.0 3.1670 8.8494 3.1670 1.0480 2.5859
1900 950.0 3.1738 7.9679 3.1738 0.9678 2.6120
1910 955.0 3.1686 8.6368 3.1686 1.0559 2.6127
1920 960.0 3.1959 5.4193 3.1959 0.9947 2.6964
1930 965.0 3.2283 2.5683 3.2283 1.0709 2.8453
1940 970.0 3.2099 4.0550 3.2099 1.0190 2.9456
1950 975.0 3.2242 2.8700 3.2242 1.0478 2.8766
1960 980.0 3.1917 5.8674 3.1917 1.0377 2.6899
1970 985.0 3.1472 11.6784 3.1472 1.0095 2.5286
1980 990.0 3.1535 10.7375 3.1535 0.9800 2.5222
1990 995.0 3.1529 10.8192 3.1529 1.0436 2.5755
2000 1000.0 3.1884 6.2276 3.1884 1.0219 2.7307
2010 1005.0 3.1592 9.9111 3.1592 1.0290 2.8751
2020 1010.0 3.2049 4.5232 3.2049 1.0709 2.8583
2030 1015.0 3.1936 5.6587 3.1936 1.0370 2.7844
2040 1020.0 3.1809 7.0951 3.1809 1.0596 2.6617
2050 1025.0 3.1934 5.6804 3.1934 1.0319 2.7793
2060 1030.0 3.2230 2.9674 3.2230 1.1099 2.9191
2070 1035.0 3.1809 7.0896 3.1809 1.0189 2.8877
2080 1040.0 3.1976 5.2382 3.1976 1.0585 2.7784
2090 1045.0 3.2033 4.6712 3.2033 1.0611 2.8218
2100 1050.0 3.1810 7.0857 3.1810 1.0522 2.9707
2110 1055.0 3.2037 4.6380 3.2037 1.0553 2.8648
2120 1060.0 3.1727 8.1039 3.1727 0.9964 2.6978
2130 1065.0 3.1954 5.4698 3.1954 1.0337 2.8086
2140 1070.0 3.1660 8.9735 3.1660 0.9934 2.7908
2150 1075.0 3.1750 7.8094 3.1750 1.0382 2.7201
2160 1080.0 3.1453 11.9705 3.1453 0.9866 2.6162
2170 1085.0 3.1670 8.8497 3.1670 1.0305 2.7041
2180 1090.0 3.1622 9.4993 3.1622 1.0081 2.7883
2190 1095.0 3.1799 7.2142 3.1799 1.0308 2.7200
2200 1100.0 3.1751 7.7963 3.1751 1.0014 2.7040
2210 1105.0 3.1857 6.5368 3.1857 1.0235 2.8075
2220 1110.0 3.1716 8.2438 3.1716 1.0183 2.8279
2230 1115.0 3.1835 6.7878 3.1835 1.0552 2.7081
2240 1120.0 3.1595 9.8637 3.1595 0.9993 2.6235
2250 1125.0 3.1890 6.1637 3.1890 1.0573 2.7000
2260 1130.0 3.1843 6.6912 3.1843 1.0129 2.7751
2270 1135.0 3.1966 5.3437 3.1966 1.0348 2.7157
2280 1140.0 3.2012 4.8763 3.2012 1.0461 2.6983
2290 1145.0 3.1955 5.4614 3.1955 1.0334 2.7961
