# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 2.3277 1.7182 2.5114 2.4126
10 5.0 1.5608 3.9752 1.5608 2.4900 2.3604
20 10.0 1.4933 12.2781 1.4933 2.4585 2.3462
30 15.0 1.6638 0.0959 1.6638 2.3776 2.4176
40 20.0 1.6685 0.1709 1.6685 2.4606 2.3895
50 25.0 1.5435 5.6749 1.5435 2.6446 2.3092
60 30.0 1.5738 2.8995 1.5738 2.6122 2.2254
70 35.0 1.6996 1.2276 1.6996 2.4764 2.2355
80 40.0 1.6507 0.0003 1.6507 2.4901 2.1865
90 45.0 1.5384 6.2308 1.5384 2.5889 2.1181
100 50.0 1.6138 0.6548 1.6138 2.6347 2.1374
110 55.0 1.6803 0.4584 1.6803 2.6306 2.2447
120 60.0 1.5742 2.8750 1.5742 2.7096 2.2956
130 65.0 1.5959 1.4649 1.5959 2.6548 2.2903
140 70.0 1.6543 0.0090 1.6543 2.5208 2.4489
150 75.0 1.5293 7.2803 1.5293 2.4989 2.4389
160 80.0 1.5736 2.9190 1.5736 2.5104 2.4873
170 85.0 1.7033 1.4219 1.7033 2.5541 2.4704
180 90.0 1.6080 0.8825 1.6080 2.7438 2.3844
190 95.0 1.5223 8.1554 1.5223 2.8811 2.3011
200 100.0 1.6686 0.1736 1.6686 2.8265 2.2305
210 105.0 1.6709 0.2189 1.6709 2.7493 2.1583
220 110.0 1.5602 4.0277 1.5602 2.7167 2.1201
230 115.0 1.5497 5.0304 1.5497 2.7178 2.0798
240 120.0 1.6373 0.0801 1.6373 2.7475 2.0691
250 125.0 1.6511 0.0006 1.6511 2.8071 2.0837
260 130.0 1.5539 4.6196 1.5539 2.8541 2.0970
270 135.0 1.6001 1.2464 1.6001 2.7795 2.1257
280 140.0 1.6841 0.5800 1.6841 2.6266 2.1830
290 145.0 1.5804 2.4225 1.5804 2.5695 2.2705
300 150.0 1.5545 4.5634 1.5545 2.5858 2.3681
310 155.0 1.5826 2.2707 1.5826 2.5764 2.4503
320 160.0 1.6073 0.9127 1.6073 2.4732 2.5359
330 165.0 1.6306 0.1881 1.6306 2.4006 2.5407
340 170.0 1.5839 2.1819 1.5839 2.4327 2.4750
350 175.0 1.5575 4.2799 1.5575 2.4247 2.3645
360 180.0 1.5668 3.4611 1.5668 2.3378 2.3049
370 185.0 1.6563 0.0200 1.6563 2.2265 2.3407
380 190.0 1.5855 2.0814 1.5855 2.2989 2.3484
390 195.0 1.5181 8.7044 1.5181 2.3305 2.3966
400 200.0 1.6331 0.1421 1.6331 2.1880 2.3676
410 205.0 1.6180 0.5115 1.6180 2.1825 2.3034
420 210.0 1.5442 5.5982 1.5442 2.2575 2.2501
430 215.0 1.6018 1.1612 1.6018 2.1880 2.3598
440 220.0 1.6417 0.0341 1.6417 2.1436 2.3343
450 225.0 1.5254 7.7645 1.5254 2.2900 2.2169
460 230.0 1.5888 1.8743 1.5888 2.2726 2.1722
470 235.0 1.6752 0.3178 1.6752 2.1944 2.2173
480 240.0 1.6015 1.1773 1.6015 2.2624 2.2111
490 245.0 1.5756 2.7688 1.5756 2.4203 2.2099
500 250.0 1.5894 1.8352 1.5894 2.4986 2.3311
510 255.0 1.6236 0.3495 1.6236 2.5031 2.3019
520 260.0 1.6657 0.1236 1.6657 2.4780 2.2941
530 265.0 1.6153 0.6015 1.6153 2.5445 2.4250
540 270.0 1.5252 7.7907 1.5252 2.5726 2.3127
550 275.0 1.5661 3.5166 1.5661 2.5058 2.2999
560 280.0 1.6653 0.1174 1.6653 2.4208 2.3759
570 285.0 1.6016 1.1716 1.6016 2.4580 2.3530
580 290.0 1.5653 3.5833 1.5653 2.4654 2.3572
590 295.0 1.6476 0.0030 1.6476 2.3837 2.3118
600 300.0 1.6488 0.0008 1.6488 2.3668 2.2290
610 305.0 1.5794 2.4910 1.5794 2.3639 2.1721
620 310.0 1.5717 3.0638 1.5717 2.3522 2.1363
630 315.0 1.6554 0.0145 1.6554 2.3150 2.1374
640 320.0 1.6427 0.0266 1.6427 2.3486 2.1461
650 325.0 1.5316 7.0129 1.5316 2.4497 2.1263
660 330.0 1.6133 0.6725 1.6133 2.3479 2.1822
670 335.0 1.6332 0.1403 1.6332 2.2216 2.2527
680 340.0 1.5400 6.0525 1.5400 2.2181 2.2984
690 345.0 1.6007 1.2158 1.6007 2.2534 2.3404
700 350.0 1.5784 2.5616 1.5784 2.3492 2.3072
710 355.0 1.5902 1.7856 1.5902 2.3441 2.2446
720 360.0 1.6500 0.0000 1.6500 2.2533 2.3797
730 365.0 1.5781 2.5882 1.5781 2.2580 2.3194
740 370.0 1.5157 9.0188 1.5157 2.3201 2.2047
750 375.0 1.6403 0.0473 1.6403 2.2509 2.2019
760 380.0 1.6798 0.4439 1.6798 2.2538 2.2358
770 385.0 1.5208 8.3429 1.5208 2.3868 2.2601
780 390.0 1.5965 1.4321 1.5965 2.2889 2.3596
790 395.0 1.6894 0.7760 1.6894 2.1560 2.4175
800 400.0 1.5668 3.4590 1.5668 2.2091 2.2782
810 405.0 1.5596 4.0840 1.5596 2.2471 2.3102
820 410.0 1.6410 0.0404 1.6410 2.2749 2.3210
830 415.0 1.6073 0.9104 1.6073 2.3702 2.2415
840 420.0 1.5767 2.6897 1.5767 2.4150 2.1717
850 425.0 1.6155 0.5965 1.6155 2.3443 2.1595
860 430.0 1.5979 1.3585 1.5979 2.2431 2.2318
870 435.0 1.5654 3.5823 1.5654 2.2040 2.3217
880 440.0 1.6142 0.6418 1.6142 2.2196 2.4242
890 445.0 1.5741 2.8780 1.5741 2.2693 2.4198
900 450.0 1.5681 3.3534 1.5681 2.2665 2.3805
910 455.0 1.6350 0.1126 1.6350 2.1870 2.4823
920 460.0 1.5711 3.1142 1.5711 2.2542 2.4006
930 465.0 1.5533 4.6773 1.5533 2.2828 2.4407
940 470.0 1.6333 0.1391 1.6333 2.2133 2.5001
950 475.0 1.6296 0.2071 1.6296 2.2939 2.3960
960 480.0 1.5651 3.6025 1.5651 2.4583 2.2271
970 485.0 1.6240 0.3369 1.6240 2.4538 2.1431
980 490.0 1.6615 0.0657 1.6615 2.3506 2.1678
990 495.0 1.6147 0.6221 1.6147 2.4288 2.2546
1000 500.0 1.5448 5.5351 1.5448 2.3858 2.4149
1010 505.0 1.6270 0.2646 1.6270 2.2327 2.4873
1020 510.0 1.6227 0.3717 1.6227 2.1917 2.3790
1030 515.0 1.5501 4.9874 1.5501 2.2705 2.2800
1040 520.0 1.5609 3.9729 1.5609 2.2989 2.3343
1050 525.0 1.6165 0.5626 1.6165 2.3149 2.4509
1060 530.0 1.6455 0.0099 1.6455 2.3824 2.3494
1070 535.0 1.5761 2.7274 1.5761 2.5044 2.2347
1080 540.0 1.5661 3.5182 1.5661 2.5149 2.2050
1090 545.0 1.6154 0.5989 1.6154 2.3878 2.2833
1100 550.0 1.6055 0.9904 1.6055 2.2750 2.4161
1110 555.0 1.6654 0.1192 1.6654 2.2614 2.4661
1120 560.0 1.5806 2.4101 1.5806 2.4247 2.3589
1130 565.0 1.5590 4.1419 1.5590 2.4784 2.3795
1140 570.0 1.6596 0.0459 1.6596 2.3913 2.3682
1150 575.0 1.6778 0.3857 1.6778 2.4165 2.3225
1160 580.0 1.5728 2.9837 1.5728 2.5393 2.2426
1170 585.0 1.5966 1.4283 1.5966 2.5351 2.2709
1180 590.0 1.7122 1.9343 1.7122 2.4154 2.3503
1190 595.0 1.6520 0.0021 1.6520 2.4595 2.3146
1200 600.0 1.5671 3.4402 1.5671 2.5381 2.2885
