# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 481.9350 1.7182 2.5114 2.4126
10 5.0 2.2582 97.5903 2.2582 2.0859 2.2853
20 10.0 2.8543 11.9011 2.8543 1.6018 2.0884
30 15.0 2.8307 8.5454 2.8307 1.8006 1.4935
40 20.0 2.7285 0.4071 2.7285 1.9662 1.3177
50 25.0 2.7248 0.3086 2.7248 1.3148 1.9741
60 30.0 2.7147 0.1087 2.7147 1.1046 2.3137
70 35.0 2.6926 0.0272 2.6926 0.9464 2.5904
80 40.0 2.6121 3.8659 2.6121 1.0162 2.6449
90 45.0 2.7408 0.8319 2.7408 1.0078 2.6375
100 50.0 2.8233 7.6061 2.8233 0.9926 2.6896
110 55.0 2.6091 4.1296 2.6091 1.0268 2.7238
120 60.0 2.6012 4.8776 2.6012 0.9014 2.6600
130 65.0 2.6636 0.6632 2.6636 1.0792 2.7197
140 70.0 2.8438 10.3461 2.8438 0.9042 2.7055
150 75.0 2.6734 0.3546 2.6734 1.1025 2.6074
160 80.0 2.7629 1.9768 2.7629 0.9196 2.4864
170 85.0 2.6912 0.0386 2.6912 1.0970 2.2395
180 90.0 2.6224 3.0070 2.6224 0.9294 2.1604
190 95.0 2.4922 21.5848 2.4922 1.0384 2.0077
200 100.0 2.6853 0.1084 2.6853 0.9750 2.0904
210 105.0 2.6938 0.0192 2.6938 1.0514 2.0382
220 110.0 2.6872 0.0813 2.6872 0.9559 2.0962
230 115.0 2.6792 0.2154 2.6792 1.0100 2.0365
240 120.0 2.7930 4.3270 2.7930 0.9855 2.0980
250 125.0 2.7698 2.4372 2.7698 1.0148 2.0917
260 130.0 2.6810 0.1808 2.6810 0.9872 2.0987
270 135.0 2.6924 0.0288 2.6924 0.9886 2.1030
280 140.0 2.7339 0.5738 2.7339 1.0011 2.1538
290 145.0 2.7815 3.3191 2.7815 0.9967 2.2483
300 150.0 2.7423 0.8960 2.7423 1.0012 2.3076
310 155.0 2.7206 0.2127 2.7206 0.9873 2.4190
320 160.0 2.7499 1.2429 2.7499 0.9987 2.5518
330 165.0 2.6910 0.0403 2.6910 0.9647 2.5412
340 170.0 2.6533 1.0884 2.6533 1.0196 2.4055
350 175.0 2.7791 3.1294 2.7791 0.9866 2.3745
360 180.0 2.8310 8.5857 2.8310 0.9998 2.3189
370 185.0 2.6827 0.1505 2.6827 0.9874 2.2101
380 190.0 2.6815 0.1705 2.6815 1.0056 2.2421
390 195.0 2.8155 6.6644 2.8155 1.0020 2.3607
400 200.0 2.7093 0.0436 2.7093 1.0043 2.2659
410 205.0 2.6336 2.2015 2.6336 1.0039 2.1975
420 210.0 2.7770 2.9670 2.7770 1.0070 2.2323
430 215.0 2.7266 0.3547 2.7266 1.0371 2.1814
440 220.0 2.6051 4.4992 2.6051 0.9678 2.1591
450 225.0 2.6953 0.0108 2.6953 1.0200 2.1875
460 230.0 2.7930 4.3252 2.7930 1.0035 2.2326
470 235.0 2.6284 2.5635 2.6284 1.0145 2.1235
480 240.0 2.6160 3.5309 2.6160 0.9669 2.1433
