# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 2380.0576 1.7182 2.5114 2.4126
10 5.0 3.0785 337.4115 3.0785 1.4573 2.4472
20 10.0 3.3943 127.8585 3.3943 1.5931 2.1399
30 15.0 3.3346 159.8572 3.3346 1.4399 2.0997
40 20.0 3.3404 156.5929 3.3404 1.2265 2.4375
50 25.0 2.8875 512.6062 2.8875 1.2308 1.9809
60 30.0 3.1593 274.3030 3.1593 1.2393 2.6517
70 35.0 3.3775 136.5265 3.3775 1.2956 2.3241
80 40.0 3.2986 180.8696 3.2986 0.8254 2.3694
90 45.0 3.4460 103.0774 3.4460 1.0600 2.5236
100 50.0 3.2963 182.2277 3.2963 1.0888 2.3114
110 55.0 3.2606 204.4365 3.2606 0.8632 2.5518
120 60.0 3.3178 169.4802 3.3178 1.2178 2.1162
130 65.0 3.2365 220.1197 3.2365 1.0575 2.5785
140 70.0 3.2621 203.4371 3.2621 1.0909 2.0801
150 75.0 3.4243 113.1555 3.4243 0.9679 2.3352
160 80.0 3.5590 58.1470 3.5590 1.0808 2.2181
170 85.0 3.5626 56.9337 3.5626 1.1044 2.3044
180 90.0 3.4283 111.2475 3.4283 0.8924 2.3560
190 95.0 3.5105 75.8496 3.5105 1.0884 2.2694
200 100.0 3.4755 90.0963 3.4755 1.1010 2.4738
210 105.0 3.4254 112.6338 3.4254 0.9621 2.1474
220 110.0 3.5520 60.5443 3.5520 0.9960 2.2973
230 115.0 3.5250 70.3191 3.5250 1.0437 2.5019
240 120.0 3.4150 117.6308 3.4150 0.9840 2.1679
250 125.0 3.5629 56.8310 3.5629 0.9076 2.3935
260 130.0 3.5909 47.7594 3.5909 1.1000 2.4211
270 135.0 3.6264 37.4323 3.6264 0.9048 2.4354
280 140.0 3.5720 53.7786 3.5720 1.1169 2.4730
290 145.0 3.5203 72.0790 3.5203 0.9331 2.3266
300 150.0 3.6377 34.3982 3.6377 0.9537 2.4172
310 155.0 3.5287 68.9497 3.5287 1.0967 2.5219
320 160.0 3.6174 39.9368 3.6174 0.8764 2.3555
330 165.0 3.6203 39.1158 3.6203 1.0526 2.3676
