# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 640.4504 1.7182 2.5114 2.4126
10 5.0 2.2990 151.8258 2.2990 2.0256 2.3660
20 10.0 3.1276 38.5413 3.1276 1.3216 2.4576
30 15.0 2.7400 6.0518 2.7400 0.9316 2.0475
40 20.0 2.6057 29.8409 2.6057 1.6850 1.4231
50 25.0 2.6963 11.8062 2.6963 1.7114 1.3744
60 30.0 2.6594 18.1704 2.6594 1.1225 1.7614
70 35.0 2.5685 39.6079 2.5685 0.9760 1.8155
80 40.0 2.6715 15.9278 2.6715 1.1022 1.7323
90 45.0 3.0382 17.7072 3.0382 1.0753 1.8524
100 50.0 3.0174 14.0175 3.0174 1.1920 1.8830
110 55.0 2.8475 0.0032 2.8475 1.1865 1.8319
120 60.0 2.9164 2.2050 2.9164 0.9475 2.0540
130 65.0 2.8045 1.0343 2.8045 1.0996 2.2222
140 70.0 3.0180 14.1119 3.0180 0.9679 2.3885
150 75.0 2.9525 5.2551 2.9525 1.0861 2.2406
160 80.0 2.8817 0.5032 2.8817 0.9369 2.3379
170 85.0 2.6965 11.7863 2.6965 0.9986 2.1439
180 90.0 2.7506 4.9441 2.7506 0.9633 2.1988
190 95.0 2.8390 0.0603 2.8390 0.9886 2.2622
200 100.0 2.8737 0.2800 2.8737 1.0128 2.2041
210 105.0 2.8674 0.1509 2.8674 0.9644 2.2279
220 110.0 2.8207 0.4303 2.8207 1.0223 2.2095
230 115.0 2.9060 1.5680 2.9060 0.9416 2.3552
240 120.0 2.7775 2.6264 2.7775 1.0348 2.3190
250 125.0 2.8776 0.3814 2.8776 0.9440 2.4357
260 130.0 2.8640 0.0979 2.8640 1.0154 2.4134
270 135.0 2.8794 0.4321 2.8794 1.0030 2.3806
280 140.0 2.9167 2.2266 2.9167 0.9871 2.4238
290 145.0 2.8976 1.1336 2.8976 1.0255 2.4502
300 150.0 2.9516 5.1577 2.9516 0.9674 2.4733
310 155.0 2.8435 0.0208 2.8435 1.0466 2.3595
320 160.0 2.8862 0.6556 2.8862 0.9570 2.3592
330 165.0 2.7923 1.6653 2.7923 1.0378 2.3511
340 170.0 2.8824 0.5258 2.8824 0.9741 2.4486
350 175.0 2.9055 1.5400 2.9055 1.0182 2.3746
360 180.0 2.8968 1.0963 2.8968 0.9990 2.3711
370 185.0 2.8297 0.2067 2.8297 0.9775 2.3813
380 190.0 2.7759 2.7464 2.7759 1.0086 2.3408
390 195.0 2.8894 0.7756 2.8894 0.9866 2.3671
400 200.0 2.9544 5.4486 2.9544 1.0186 2.3427
410 205.0 2.8527 0.0037 2.8527 0.9649 2.3723
420 210.0 2.7084 10.0285 2.7084 0.9800 2.3861
430 215.0 2.7577 4.2598 2.7577 0.9647 2.4277
440 220.0 2.8288 0.2247 2.8288 0.9791 2.4185
450 225.0 2.9012 1.3098 2.9012 1.0100 2.3949
460 230.0 2.9077 1.6659 2.9077 0.9787 2.4611
470 235.0 2.8217 0.4014 2.8217 1.0292 2.4445
480 240.0 2.8896 0.7846 2.8896 0.9513 2.5148
490 245.0 2.8586 0.0367 2.8586 1.0287 2.4804
500 250.0 2.9155 2.1459 2.9155 0.9656 2.5412
510 255.0 2.8154 0.6002 2.8154 1.0247 2.4565
520 260.0 2.8115 0.7396 2.8115 0.9575 2.3585
530 265.0 2.7652 3.5972 2.7652 0.9856 2.2740
540 270.0 2.7713 3.0973 2.7713 0.9875 2.2368
550 275.0 2.8312 0.1760 2.8312 0.9645 2.2930
560 280.0 2.8545 0.0101 2.8545 0.9997 2.3577
570 285.0 2.8974 1.1241 2.8974 0.9926 2.4304
