# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 72.8737 1.7182 2.5114 2.4126
10 5.0 1.8973 20.5363 1.8973 2.3184 2.3982
20 10.0 2.1453 1.0278 2.1453 2.1049 2.3678
30 15.0 2.0635 0.6671 2.0635 2.2167 2.3090
40 20.0 1.7901 48.0266 1.7901 2.4882 2.3067
50 25.0 1.8085 42.4967 1.8085 2.3948 2.4002
60 30.0 2.0049 4.5248 2.0049 2.1433 2.5506
70 35.0 2.0980 0.0021 2.0980 2.1276 2.5349
80 40.0 1.8992 20.1677 1.8992 2.4029 2.3757
90 45.0 1.7737 53.2474 1.7737 2.5703 2.1982
100 50.0 1.9203 16.1518 1.9203 2.3745 2.2295
110 55.0 2.0808 0.1851 2.0808 2.2399 2.2519
120 60.0 2.0552 1.0031 2.0552 2.3686 2.0999
130 65.0 1.8906 21.9257 1.8906 2.5877 1.8850
140 70.0 1.8614 28.4754 1.8614 2.5622 1.6724
150 75.0 2.0107 3.9889 2.0107 2.3276 1.3581
160 80.0 2.2061 5.6332 2.2061 2.1518 1.3449
170 85.0 2.1967 4.6717 2.1967 1.9874 1.5024
180 90.0 1.9653 9.0750 1.9653 2.0556 1.3286
190 95.0 1.9903 6.0160 1.9903 2.2722 1.3739
200 100.0 2.1839 3.5160 2.1839 2.5770 1.5800
210 105.0 1.9649 9.1237 1.9649 2.8356 1.4773
220 110.0 1.9121 17.6565 1.9121 3.0378 1.3410
230 115.0 2.2848 17.0767 2.2848 2.9388 1.4599
240 120.0 2.1977 4.7770 2.1977 3.0117 1.3388
250 125.0 1.9174 16.6751 1.9174 3.1590 1.3628
260 130.0 2.0490 1.3011 2.0490 2.9134 1.6328
270 135.0 2.1497 1.2367 2.1497 2.9214 1.6196
280 140.0 2.0272 2.6473 2.0272 2.7540 1.3022
290 145.0 1.9913 5.9093 1.9913 2.5872 1.4177
300 150.0 1.9855 6.5513 1.9855 2.5480 1.6978
310 155.0 2.0092 4.1204 2.0092 2.6095 1.7467
320 160.0 2.0072 4.3094 2.0072 2.7178 1.6082
330 165.0 1.9633 9.3487 1.9633 2.8211 1.3138
340 170.0 2.1185 0.1703 2.1185 2.8933 1.4034
350 175.0 2.1712 2.5321 2.1712 2.8961 1.5537
360 180.0 1.9627 9.4237 1.9627 3.0711 1.3514
370 185.0 2.0204 3.1699 2.0204 3.0321 1.3513
380 190.0 2.2072 5.7454 2.2072 2.9504 1.5180
390 195.0 2.0546 1.0301 2.0546 2.8430 1.3882
400 200.0 1.9669 8.8617 1.9669 2.7405 1.3602
410 205.0 2.0433 1.6066 2.0433 2.5925 1.5298
420 210.0 2.0250 2.8132 2.0250 2.4240 1.4762
430 215.0 2.0388 1.8745 2.0388 2.3016 1.2987
440 220.0 2.0944 0.0159 2.0944 2.2563 1.3805
450 225.0 2.1058 0.0167 2.1058 2.3000 1.4291
460 230.0 2.0386 1.8880 2.0386 2.3765 1.3636
470 235.0 2.0091 4.1348 2.0091 2.5565 1.3808
480 240.0 1.9969 5.3190 1.9969 2.7548 1.5048
490 245.0 1.9579 10.0891 1.9579 2.8850 1.5193
500 250.0 2.0279 2.5961 2.0279 2.9865 1.3917
510 255.0 2.1665 2.2091 2.1665 3.0246 1.3324
520 260.0 2.1371 0.6873 2.1371 2.9456 1.3905
530 265.0 1.9445 12.0972 1.9445 2.8967 1.4397
540 270.0 1.9620 9.5267 1.9620 2.8725 1.4420
550 275.0 2.1764 2.9186 2.1764 2.9447 1.3350
560 280.0 2.1952 4.5320 2.1952 2.9376 1.3448
570 285.0 1.9855 6.5603 1.9855 2.8660 1.4456
580 290.0 1.9045 19.1041 1.9045 2.8951 1.4326
590 295.0 2.1340 0.5784 2.1340 2.7422 1.4136
600 300.0 2.2287 8.2774 2.2287 2.6001 1.3898
610 305.0 1.9955 5.4599 1.9955 2.5071 1.3938
620 310.0 1.8867 22.7431 1.8867 2.3524 1.5304
630 315.0 1.9740 7.9349 1.9740 2.2407 1.5039
640 320.0 2.1326 0.5315 2.1326 2.3475 1.3112
650 325.0 2.1519 1.3465 2.1519 2.2375 1.3954
660 330.0 2.0386 1.8845 2.0386 2.1371 1.4717
670 335.0 2.0335 2.2103 2.0335 2.3361 1.2613
680 340.0 2.0519 1.1548 2.0519 2.1696 1.4874
