# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 72.8737 1.7182 2.5114 2.4126
10 5.0 1.8463 32.1851 1.8463 2.3712 2.3929
20 10.0 2.0422 1.6686 2.0422 2.1869 2.3505
30 15.0 1.9941 5.6090 1.9941 2.2152 2.4195
40 20.0 1.7870 48.9721 1.7870 2.3997 2.1420
50 25.0 1.8117 41.5587 1.8117 2.3827 2.1579
60 30.0 1.9995 5.0460 1.9995 2.2463 2.4376
70 35.0 2.0192 3.2604 2.0192 2.2738 2.3739
80 40.0 1.8406 33.6324 1.8406 2.4552 2.4148
90 45.0 1.7447 63.1362 1.7447 2.5210 2.3204
100 50.0 1.9407 12.6809 1.9407 2.3455 2.4341
110 55.0 1.9741 7.9231 1.9741 2.2731 2.4241
120 60.0 1.8975 20.4986 1.8975 2.3973 2.3435
130 65.0 1.8891 22.2352 1.8891 2.5219 2.2652
140 70.0 1.8966 20.6786 1.8966 2.5246 2.2742
150 75.0 1.9406 12.7009 1.9406 2.3776 2.3905
160 80.0 1.8507 31.0785 1.8507 2.2805 2.4514
170 85.0 1.9056 18.8929 1.9056 2.1765 2.3908
180 90.0 1.8904 21.9707 1.8904 2.1728 2.4316
190 95.0 1.9055 18.9085 1.9055 2.2832 2.4158
200 100.0 1.9784 7.3919 1.9784 2.4683 2.3224
210 105.0 1.8794 24.3426 1.8794 2.6378 2.2585
220 110.0 1.9573 10.1817 1.9573 2.5702 2.2996
230 115.0 2.0191 3.2725 2.0191 2.4127 2.3792
240 120.0 1.9253 15.2679 1.9253 2.4378 2.2985
250 125.0 1.8592 28.9921 1.8592 2.5441 2.2075
260 130.0 1.9481 11.5417 1.9481 2.5136 2.3249
270 135.0 2.0526 1.1222 2.0526 2.5080 2.4298
280 140.0 1.9690 8.5819 1.9690 2.7082 2.3135
290 145.0 1.8364 34.7370 1.8364 2.9110 2.1937
300 150.0 1.8859 22.9249 1.8859 2.8373 2.2989
310 155.0 1.9994 5.0570 1.9994 2.6372 2.4938
320 160.0 1.9790 7.3236 1.9790 2.5945 2.4796
330 165.0 1.8728 25.8003 1.8728 2.7125 2.3600
340 170.0 1.8604 28.6925 1.8604 2.8198 2.2797
350 175.0 1.9021 19.5747 1.9021 2.8376 2.3399
360 180.0 1.9187 16.4437 1.9187 2.8122 2.4538
370 185.0 1.9311 14.2553 1.9311 2.7615 2.4557
380 190.0 1.9166 16.8128 1.9166 2.7328 2.4550
390 195.0 1.8985 20.3084 1.8985 2.6928 2.3335
400 200.0 1.8726 25.8495 1.8726 2.5854 2.3245
410 205.0 1.9127 17.5484 1.9127 2.4515 2.3944
420 210.0 2.0249 2.8196 2.0249 2.4102 2.4784
430 215.0 1.9012 19.7640 1.9012 2.5446 2.3904
440 220.0 1.8034 43.9960 1.8034 2.6742 2.3008
450 225.0 1.8615 28.4487 1.8615 2.6003 2.3734
460 230.0 2.0275 2.6283 2.0275 2.3644 2.4924
470 235.0 1.9780 7.4440 1.9780 2.3284 2.3976
480 240.0 1.8914 21.7668 1.8914 2.4015 2.2428
490 245.0 1.8698 26.4856 1.8698 2.4135 2.2358
500 250.0 1.9606 9.7181 1.9606 2.3493 2.3866
510 255.0 1.9781 7.4256 1.9781 2.3939 2.4882
520 260.0 1.8415 33.4022 1.8415 2.5607 2.4283
530 265.0 1.8577 29.3518 1.8577 2.5544 2.3351
540 270.0 1.9305 14.3632 1.9305 2.4287 2.3297
550 275.0 1.9488 11.4243 1.9488 2.3577 2.3356
560 280.0 1.9520 10.9489 1.9520 2.3628 2.3916
570 285.0 1.9233 15.6118 1.9233 2.4575 2.3712
580 290.0 1.8743 25.4644 1.8743 2.5772 2.3574
590 295.0 1.9018 19.6484 1.9018 2.5442 2.3586
600 300.0 1.9738 7.9589 1.9738 2.4163 2.3898
610 305.0 1.9511 11.0813 1.9511 2.4213 2.4058
620 310.0 1.8852 23.0770 1.8852 2.5095 2.2368
630 315.0 1.8949 21.0327 1.8949 2.4637 2.2767
640 320.0 1.9686 8.6294 1.9686 2.3510 2.4425
650 325.0 1.9702 8.4180 1.9702 2.3828 2.4698
660 330.0 1.8862 22.8605 1.8862 2.4945 2.4082
670 335.0 1.8196 39.3169 1.8196 2.5695 2.3479
680 340.0 1.9054 18.9254 1.9054 2.4329 2.3850
690 345.0 1.9821 6.9476 1.9821 2.2219 2.4138
700 350.0 1.9988 5.1185 1.9988 2.1785 2.3792
710 355.0 1.9465 11.7807 1.9465 2.2838 2.3563
720 360.0 1.8946 21.0938 1.8946 2.3325 2.3277
730 365.0 1.9349 13.6372 1.9349 2.2160 2.4227
740 370.0 2.0190 3.2839 2.0190 2.0685 2.4279
750 375.0 1.8967 20.6685 1.8967 2.2311 2.3740
760 380.0 1.8738 25.5762 1.8738 2.3109 2.2560
770 385.0 1.9566 10.2814 1.9566 2.2147 2.3571
780 390.0 1.9743 7.8989 1.9743 2.1793 2.4138
790 395.0 1.9248 15.3438 1.9248 2.2427 2.4387
800 400.0 1.9458 11.8827 1.9458 2.2283 2.4764
810 405.0 2.0136 3.7333 2.0136 2.1744 2.5358
820 410.0 1.9327 13.9962 1.9327 2.3047 2.3660
830 415.0 1.8935 21.3108 1.8935 2.3969 2.2851
840 420.0 1.9312 14.2532 1.9312 2.3161 2.4064
850 425.0 2.0135 3.7433 2.0135 2.1566 2.4775
860 430.0 1.9567 10.2615 1.9567 2.2398 2.4815
870 435.0 1.8752 25.2773 1.8752 2.4049 2.2895
880 440.0 1.8928 21.4672 1.8928 2.3819 2.3041
890 445.0 1.9550 10.5149 1.9550 2.2636 2.4578
900 450.0 2.0217 3.0662 2.0217 2.2495 2.5469
910 455.0 1.9855 6.5584 1.9855 2.3487 2.5266
920 460.0 1.9224 15.7735 1.9224 2.4419 2.4773
930 465.0 1.9625 9.4547 1.9625 2.4291 2.4849
940 470.0 2.0342 2.1652 2.0342 2.3593 2.5138
950 475.0 2.0181 3.3552 2.0181 2.3776 2.4591
960 480.0 1.9889 6.1723 1.9889 2.4444 2.3838
970 485.0 1.9843 6.6913 1.9843 2.4596 2.3604
980 490.0 2.0152 3.5966 2.0152 2.3884 2.4239
990 495.0 2.0114 3.9216 2.0114 2.3415 2.4486
1000 500.0 1.9496 11.3046 1.9496 2.3894 2.3931
1010 505.0 1.9274 14.8884 1.9274 2.4646 2.3475
1020 510.0 1.9750 7.8148 1.9750 2.4481 2.4178
1030 515.0 2.0119 3.8814 2.0119 2.4200 2.4898
1040 520.0 2.0196 3.2327 2.0196 2.3793 2.5109
1050 525.0 1.9462 11.8292 1.9462 2.3986 2.4378
1060 530.0 1.8727 25.8279 1.8727 2.4474 2.3621
1070 535.0 1.9208 16.0477 1.9208 2.4294 2.4047
1080 540.0 1.9940 5.6145 1.9940 2.3692 2.4401
1090 545.0 1.9782 7.4230 1.9782 2.3857 2.4370
1100 550.0 1.9199 16.2248 1.9199 2.4066 2.3756
1110 555.0 1.9273 14.9092 1.9273 2.4032 2.3845
1120 560.0 2.0069 4.3309 2.0069 2.3341 2.5058
1130 565.0 1.9797 7.2309 1.9797 2.3715 2.3497
1140 570.0 1.9407 12.6949 1.9407 2.3818 2.3360
1150 575.0 1.8861 22.8829 1.8861 2.3353 2.4595
1160 580.0 1.8992 20.1515 1.8992 2.2321 2.3978
1170 585.0 1.9841 6.7138 1.9841 2.2546 2.5022
1180 590.0 1.9414 12.5711 1.9414 2.4205 2.4546
1190 595.0 1.8623 28.2529 1.8623 2.5340 2.3861
1200 600.0 1.9219 15.8601 1.9219 2.4105 2.4378
1210 605.0 1.9771 7.5534 1.9771 2.2622 2.4230
1220 610.0 1.9781 7.4321 1.9781 2.2754 2.4560
1230 615.0 1.8677 26.9792 1.8677 2.3640 2.4654
1240 620.0 1.8666 27.2392 1.8666 2.3492 2.4075
1250 625.0 1.8929 21.4456 1.8929 2.2292 2.4137
1260 630.0 1.9230 15.6672 1.9230 2.1666 2.4347
1270 635.0 1.9094 18.1692 1.9094 2.2084 2.4682
1280 640.0 1.8726 25.8521 1.8726 2.2404 2.4398
