# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 1024.9810 1.7182 2.5114 2.4126
10 5.0 2.5566 176.0540 2.5566 1.7803 2.2972
20 10.0 2.9386 22.3385 2.9386 1.5898 2.3356
30 15.0 2.7739 70.7182 2.7739 1.2419 2.3327
40 20.0 3.0494 5.0560 3.0494 1.7452 1.9338
50 25.0 3.3263 15.5337 3.3263 1.6945 1.8337
60 30.0 2.8869 34.6056 2.8869 1.8622 1.2742
70 35.0 3.0373 6.3520 3.0373 1.7491 1.5560
80 40.0 3.3440 18.8201 3.3440 1.5247 1.9173
90 45.0 2.9531 19.3809 2.9531 1.1402 1.8318
100 50.0 2.7597 76.1645 2.7597 0.9204 2.1171
110 55.0 3.0094 9.8808 3.0094 1.0297 2.4097
120 60.0 3.2501 5.0077 3.2501 0.9841 2.5920
130 65.0 3.1193 0.4708 3.1193 1.0028 2.5427
140 70.0 3.2026 1.3845 3.2026 1.0152 2.4789
150 75.0 3.3403 18.1016 3.3403 1.0839 2.3995
160 80.0 3.1924 0.8970 3.1924 0.9544 2.3955
170 85.0 3.2897 9.7623 3.2897 1.0951 2.2820
180 90.0 3.1453 0.0111 3.1453 0.9267 2.4642
190 95.0 3.1079 0.8849 3.1079 1.1401 2.2834
200 100.0 3.2233 2.6854 3.2233 0.9279 2.4463
210 105.0 3.2656 6.6811 3.2656 1.0986 2.4410
220 110.0 3.1966 1.0856 3.1966 1.0085 2.5015
230 115.0 3.1729 0.2614 3.1729 1.0324 2.4462
240 120.0 3.1438 0.0193 3.1438 0.9728 2.4821
250 125.0 3.0625 3.8255 3.0625 1.0367 2.5698
260 130.0 3.1778 0.3855 3.1778 0.9611 2.4841
270 135.0 3.2628 6.3603 3.2628 1.0527 2.3718
280 140.0 3.1867 0.6718 3.1867 0.9295 2.4634
290 145.0 3.1322 0.1590 3.1322 1.0797 2.4680
300 150.0 3.1565 0.0208 3.1565 0.9176 2.4956
310 155.0 3.1731 0.2671 3.1731 1.0713 2.4493
320 160.0 3.1188 0.4874 3.1188 0.8992 2.5565
330 165.0 3.2108 1.8457 3.2108 1.1036 2.5494
340 170.0 3.1690 0.1812 3.1690 0.8967 2.6082
350 175.0 3.1371 0.0834 3.1371 1.1380 2.4038
360 180.0 3.1075 0.9027 3.1075 0.8909 2.5091
370 185.0 3.2157 2.1590 3.2157 1.1279 2.5478
380 190.0 3.1809 0.4766 3.1809 0.8912 2.5962
390 195.0 3.2142 2.0593 3.2142 1.1178 2.4903
400 200.0 3.1535 0.0060 3.1535 0.8825 2.5925
410 205.0 3.1400 0.0497 3.1400 1.0959 2.5271
420 210.0 3.1263 0.2798 3.1263 0.8988 2.5508
430 215.0 3.2090 1.7420 3.2090 1.1018 2.5752
440 220.0 3.1391 0.0596 3.1391 0.9131 2.5823
450 225.0 3.1348 0.1156 3.1348 1.0830 2.5255
460 230.0 3.1701 0.2025 3.1701 0.9375 2.5207
470 235.0 3.1636 0.0929 3.1636 1.0625 2.4353
480 240.0 3.0864 2.0229 3.0864 0.9503 2.4278
490 245.0 3.1731 0.2679 3.1731 1.0405 2.4533
500 250.0 3.2516 5.1604 3.2516 0.9565 2.5390
510 255.0 3.1110 0.7595 3.1110 1.0371 2.4630
520 260.0 2.9951 11.9972 2.9951 0.9538 2.4590
530 265.0 3.1417 0.0341 3.1417 1.0150 2.5344
540 270.0 3.3009 11.3846 3.3009 0.9825 2.3554
550 275.0 3.1239 0.3401 3.1239 0.9959 2.5227
560 280.0 2.9992 11.3634 2.9992 0.9936 2.4485
570 285.0 3.1963 1.0706 3.1963 0.9833 2.4445
580 290.0 3.3181 14.1296 3.3181 1.0168 2.4686
590 295.0 3.1326 0.1507 3.1326 1.0043 2.3656
600 300.0 3.1112 0.7521 3.1112 0.9890 2.3502
610 305.0 3.3078 12.4568 3.3078 1.0349 2.4308
620 310.0 3.1421 0.0309 3.1421 0.9566 2.3252
630 315.0 2.9950 12.0144 2.9950 1.0272 2.2493
640 320.0 3.2142 2.0604 3.2142 0.9981 2.4650
