# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 345.9197 1.7182 2.5114 2.4126
10 5.0 2.1497 80.1162 2.1497 2.1647 2.3403
20 10.0 2.7380 17.6733 2.7380 1.8004 2.3383
30 15.0 2.6394 3.9936 2.6394 1.8751 1.8335
40 20.0 2.3686 16.4536 2.3686 2.2098 1.0877
50 25.0 2.9505 80.1887 2.9505 1.8752 1.7976
60 30.0 2.5813 0.4888 2.5813 1.9207 1.5376
70 35.0 2.1330 86.9624 2.1330 2.0699 1.2791
80 40.0 2.6536 5.3677 2.6536 1.6597 1.8854
90 45.0 2.7895 28.6825 2.7895 1.2685 2.1257
100 50.0 2.3551 18.9995 2.3551 0.9765 2.2619
110 55.0 2.3344 23.2465 2.3344 1.0825 2.2967
120 60.0 2.7124 13.1940 2.7124 0.9972 2.4248
130 65.0 2.7011 11.4217 2.7011 1.1063 2.4150
140 70.0 2.5963 1.0738 2.5963 0.9324 2.4530
150 75.0 2.4535 4.6567 2.4535 1.0639 2.3226
160 80.0 2.6600 6.0481 2.6600 0.9724 2.2885
170 85.0 2.6004 1.2680 2.6004 1.0778 2.3613
180 90.0 2.6327 3.4200 2.6327 0.9423 2.4663
190 95.0 2.4452 5.4948 2.4452 1.0716 2.2715
200 100.0 2.5058 0.9790 2.5058 0.9396 2.3520
210 105.0 2.6853 9.1470 2.6853 1.0824 2.5005
220 110.0 2.8349 40.5909 2.8349 0.9557 2.6621
230 115.0 2.5957 1.0461 2.5957 1.0970 2.4379
240 120.0 2.6055 1.5403 2.6055 0.9411 2.5586
250 125.0 2.6050 1.5101 2.6050 1.0727 2.5315
260 130.0 2.6452 4.5295 2.6452 0.9370 2.6102
270 135.0 2.5731 0.2664 2.5731 1.0898 2.3457
280 140.0 2.5881 0.7262 2.5881 0.9517 2.3643
290 145.0 2.5355 0.1058 2.5355 1.0717 2.2879
300 150.0 2.6196 2.4203 2.6196 0.9868 2.3619
310 155.0 2.6094 1.7661 2.6094 1.0440 2.2922
320 160.0 2.5384 0.0678 2.5384 1.0257 2.2279
330 165.0 2.5846 0.5999 2.5846 0.9967 2.2454
340 170.0 2.6780 8.1867 2.6780 1.0630 2.2263
350 175.0 2.6601 6.0607 2.6601 0.9742 2.1853
360 180.0 2.4713 3.0986 2.4713 1.0725 2.0374
