# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 2064.0423 1.7182 2.5114 2.4126
10 5.0 2.8281 424.9146 2.8281 1.5613 2.3499
20 10.0 2.7840 466.5829 2.7840 1.4696 2.8273
30 15.0 3.2859 107.6996 3.2859 1.5267 2.5655
40 20.0 3.1088 205.5555 3.1088 1.2715 2.5606
50 25.0 2.8081 443.5590 2.8081 1.5682 1.9435
60 30.0 3.2979 102.1777 3.2979 1.0374 2.3907
70 35.0 3.3515 79.3880 3.3515 1.3368 2.5622
80 40.0 3.1259 194.7738 3.1259 1.5994 2.6340
90 45.0 3.2936 104.1396 3.2936 1.5939 2.1064
100 50.0 3.2010 150.6944 3.2010 1.4735 2.0738
110 55.0 3.0513 244.1019 3.0513 0.9231 2.7451
120 60.0 3.3766 69.7055 3.3766 1.0723 2.5575
130 65.0 3.1245 195.6371 3.1245 1.1323 2.1330
140 70.0 3.1450 182.9875 3.1450 1.0562 2.7754
150 75.0 3.4257 52.5899 3.4257 0.8308 2.5613
160 80.0 3.4920 33.2699 3.4920 1.3333 2.2208
170 85.0 3.3689 72.6271 3.3689 0.8507 2.4422
180 90.0 3.2101 145.7641 3.2101 1.1733 2.8308
190 95.0 3.3586 76.6059 3.3586 0.9816 2.3688
200 100.0 3.5671 16.7191 3.5671 1.2833 2.4908
210 105.0 3.4146 56.2510 3.4146 0.8600 2.8138
220 110.0 3.3975 62.1114 3.3975 1.2316 2.7148
230 115.0 3.4994 31.3888 3.4994 0.8698 2.6848
240 120.0 3.3286 88.7904 3.3286 1.1801 2.9378
250 125.0 3.4291 51.5033 3.4291 0.9415 2.4076
260 130.0 3.5346 23.1895 3.5346 1.0582 2.4472
270 135.0 3.4432 47.0491 3.4432 0.9779 2.7264
280 140.0 3.4260 52.4802 3.4260 1.0609 2.4094
290 145.0 3.5360 22.8889 3.5360 0.9509 2.6207
300 150.0 3.4564 43.0867 3.4564 1.0966 2.7812
310 155.0 3.5904 12.7350 3.5904 0.9636 2.6147
320 160.0 3.5962 11.8198 3.5962 1.0059 2.5843
330 165.0 3.5998 11.2797 3.5998 1.0075 2.6535
340 170.0 3.5279 24.6612 3.5279 0.9378 2.5817
350 175.0 3.5970 11.7029 3.5970 1.0778 2.6909
360 180.0 3.5256 25.1709 3.5256 0.9683 2.7770
370 185.0 3.5856 13.5060 3.5856 1.0681 2.6223
380 190.0 3.5327 23.6141 3.5327 0.9136 2.7486
390 195.0 3.5254 25.2138 3.5254 1.0771 2.5607
400 200.0 3.5313 23.9080 3.5313 0.9390 2.7353
410 205.0 3.5324 23.6670 3.5324 1.0671 2.6751
420 210.0 3.4780 36.9950 3.4780 0.9560 2.4941
430 215.0 3.4734 38.2504 3.4734 1.0797 2.6529
440 220.0 3.5284 24.5631 3.5284 0.9329 2.4665
450 225.0 3.5435 21.3182 3.5435 1.1503 2.5240
460 230.0 3.5418 21.6737 3.5418 0.9142 2.4515
470 235.0 3.5277 24.7138 3.5277 1.0975 2.5047
480 240.0 3.5689 16.3896 3.5689 0.9682 2.3430
490 245.0 3.5563 18.7552 3.5563 1.0530 2.3665
500 250.0 3.5166 27.2311 3.5166 0.9437 2.3453
510 255.0 3.5356 22.9937 3.5356 1.0482 2.3049
520 260.0 3.4739 38.1099 3.4739 0.9863 2.3679
530 265.0 3.4961 32.2246 3.4961 1.0307 2.2421
540 270.0 3.4894 33.9510 3.4894 0.9765 2.3235
550 275.0 3.5097 28.8608 3.5097 1.0335 2.2555
560 280.0 3.4811 36.1468 3.4811 0.9965 2.3192
570 285.0 3.4435 46.9816 3.4435 0.9856 2.3998
580 290.0 3.4462 46.1544 3.4462 1.0092 2.2889
590 295.0 3.4627 41.2775 3.4627 0.9885 2.4143
600 300.0 3.5275 24.7455 3.5275 1.0229 2.3193
610 305.0 3.5299 24.2132 3.5299 0.9799 2.4220
620 310.0 3.5631 17.4603 3.5631 1.0209 2.4006
630 315.0 3.5667 16.7908 3.5667 0.9714 2.4196
640 320.0 3.5723 15.7912 3.5723 1.0286 2.4875
650 325.0 3.5770 14.9646 3.5770 1.0171 2.4997
660 330.0 3.5644 17.2330 3.5644 0.9883 2.5252
670 335.0 3.5801 14.4303 3.5801 1.0240 2.4896
680 340.0 3.5824 14.0421 3.5824 0.9869 2.4992
690 345.0 3.5753 15.2686 3.5753 1.0062 2.4857
700 350.0 3.5652 17.0731 3.5652 1.0047 2.4193
710 355.0 3.5319 23.7878 3.5319 0.9959 2.4735
720 360.0 3.5523 19.5334 3.5523 1.0040 2.3574
730 365.0 3.5207 26.2977 3.5207 1.0007 2.4475
740 370.0 3.5259 25.1042 3.5259 1.0013 2.2774
750 375.0 3.5192 26.6440 3.5192 0.9584 2.4066
760 380.0 3.5314 23.8939 3.5314 1.0463 2.3388
770 385.0 3.5482 20.3654 3.5482 0.9317 2.3600
780 390.0 3.5627 17.5339 3.5627 1.1001 2.4287
790 395.0 3.5501 19.9736 3.5501 0.9657 2.4344
800 400.0 3.5539 19.2232 3.5539 1.0582 2.3939
810 405.0 3.5169 27.1687 3.5169 1.0065 2.4881
820 410.0 3.5423 21.5629 3.5423 1.0222 2.3448
830 415.0 3.5436 21.3042 3.5436 0.9728 2.4371
840 420.0 3.5825 14.0261 3.5825 1.0353 2.3731
850 425.0 3.5897 12.8484 3.5897 0.9684 2.3364
860 430.0 3.5606 17.9399 3.5606 1.0183 2.4131
870 435.0 3.5519 19.6190 3.5519 0.9884 2.4145
880 440.0 3.5745 15.3974 3.5745 0.9803 2.3028
890 445.0 3.5652 17.0781 3.5652 1.0027 2.3542
900 450.0 3.5626 17.5584 3.5626 0.9765 2.3062
910 455.0 3.5350 23.1036 3.5350 1.0016 2.2186
920 460.0 3.5666 16.8187 3.5666 0.9548 2.3085
930 465.0 3.5899 12.8158 3.5899 1.0020 2.2765
940 470.0 3.6172 8.8234 3.6172 0.9595 2.3125
950 475.0 3.6209 8.3271 3.6209 0.9843 2.3191
960 480.0 3.6008 11.1313 3.6008 0.9925 2.2604
970 485.0 3.6294 7.2701 3.6294 0.9577 2.3505
980 490.0 3.6277 7.4813 3.6277 1.0093 2.3371
990 495.0 3.6124 9.4654 3.6124 0.9665 2.3649
1000 500.0 3.6027 10.8546 3.6027 1.0196 2.3703
1010 505.0 3.5571 18.6067 3.5571 0.9763 2.3283
1020 510.0 3.5316 23.8448 3.5316 1.0036 2.3839
1030 515.0 3.5483 20.3432 3.5483 0.9814 2.3036
1040 520.0 3.5619 17.6870 3.5619 1.0171 2.3152
1050 525.0 3.5434 21.3449 3.5434 0.9779 2.3184
1060 530.0 3.5512 19.7560 3.5512 1.0026 2.2641
1070 535.0 3.5484 20.3276 3.5484 0.9679 2.2465
1080 540.0 3.5659 16.9536 3.5659 1.0155 2.2516
1090 545.0 3.5589 18.2659 3.5589 0.9610 2.2442
1100 550.0 3.5682 16.5328 3.5682 1.0177 2.2988
1110 555.0 3.5661 16.9076 3.5661 0.9555 2.2632
1120 560.0 3.5828 13.9805 3.5828 1.0110 2.3546
1130 565.0 3.5884 13.0639 3.5884 0.9485 2.3996
1140 570.0 3.5814 14.2194 3.5814 0.9967 2.3572
1150 575.0 3.5972 11.6788 3.5972 0.9647 2.4303
1160 580.0 3.5969 11.7222 3.5969 0.9775 2.4521
1170 585.0 3.5895 12.8751 3.5895 1.0000 2.3925
1180 590.0 3.5943 12.1274 3.5943 0.9560 2.4643
1190 595.0 3.5999 11.2672 3.5999 1.0193 2.3931
1200 600.0 3.6057 10.4168 3.6057 0.9344 2.4190
1210 605.0 3.6176 8.7696 3.6176 1.0458 2.3979
1220 610.0 3.6046 10.5654 3.6046 0.9646 2.3924
1230 615.0 3.6071 10.2049 3.6071 0.9868 2.3521
1240 620.0 3.6030 10.8073 3.6030 1.0223 2.3409
1250 625.0 3.5953 11.9721 3.5953 0.9671 2.3008
1260 630.0 3.5899 12.8181 3.5899 1.0131 2.2945
1270 635.0 3.5672 16.7039 3.5672 0.9906 2.3029
1280 640.0 3.5802 14.4224 3.5802 0.9770 2.2427
1290 645.0 3.5754 15.2470 3.5754 1.0255 2.2824
1300 650.0 3.5662 16.8995 3.5662 0.9689 2.2548
1310 655.0 3.5700 16.2025 3.5700 0.9931 2.2060
1320 660.0 3.5747 15.3585 3.5747 1.0025 2.2917
1330 665.0 3.5855 13.5269 3.5855 0.9753 2.2364
1340 670.0 3.5692 16.3366 3.5692 1.0005 2.2234
1350 675.0 3.5362 22.8547 3.5362 0.9907 2.3197
1360 680.0 3.5471 20.5796 3.5471 0.9865 2.2443
1370 685.0 3.5577 18.4870 3.5577 0.9913 2.3338
1380 690.0 3.5641 17.2737 3.5641 0.9966 2.3288
1390 695.0 3.5652 17.0691 3.5652 1.0046 2.3029
1400 700.0 3.5493 20.1479 3.5493 0.9854 2.3602
1410 705.0 3.5546 19.0875 3.5546 1.0006 2.2643
1420 710.0 3.5450 21.0163 3.5450 0.9852 2.3504
1430 715.0 3.5626 17.5562 3.5626 0.9969 2.2250
1440 720.0 3.5492 20.1642 3.5492 0.9959 2.3130
1450 725.0 3.5586 18.3232 3.5586 0.9835 2.2824
1460 730.0 3.5620 17.6808 3.5620 1.0221 2.2610
1470 735.0 3.5715 15.9364 3.5715 0.9652 2.3374
1480 740.0 3.5880 13.1246 3.5880 1.0381 2.2592
1490 745.0 3.5973 11.6595 3.5973 0.9394 2.3312
1500 750.0 3.5805 14.3705 3.5805 1.0471 2.3496
1510 755.0 3.5825 14.0326 3.5825 0.9307 2.3294
1520 760.0 3.5651 17.0926 3.5651 1.0591 2.4207
1530 765.0 3.5460 20.8135 3.5460 0.9465 2.3716
1540 770.0 3.5475 20.5028 3.5475 1.0209 2.4491
1550 775.0 3.5508 19.8327 3.5508 1.0190 2.4503
1560 780.0 3.5249 25.3403 3.5249 0.9489 2.4086
1570 785.0 3.5383 22.4037 3.5383 1.0795 2.4440
1580 790.0 3.5168 27.2005 3.5168 0.9209 2.4363
1590 795.0 3.5431 21.4042 3.5431 1.0820 2.4147
1600 800.0 3.5124 28.2334 3.5124 0.9563 2.4179
1610 805.0 3.4965 32.1247 3.4965 1.0075 2.3146
1620 810.0 3.4872 34.5276 3.4872 1.0125 2.4172
1630 815.0 3.5171 27.1176 3.5171 0.9919 2.2923
