# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 2603.2345 1.7182 2.5114 2.4126
10 5.0 3.1526 359.0736 3.1526 1.4573 2.5008
20 10.0 3.2866 254.4352 3.2866 1.6153 2.1578
30 15.0 3.1375 371.9175 3.1375 1.5851 2.1939
40 20.0 3.1297 378.7459 3.1297 1.3152 1.9710
50 25.0 3.2649 270.1593 3.2649 1.3124 2.2637
60 30.0 2.9508 550.4072 2.9508 2.3284 1.2730
70 35.0 3.0164 483.7741 3.0164 2.6095 2.2954
80 40.0 3.2165 306.9268 3.2165 1.8738 2.3419
90 45.0 3.2835 256.6995 3.2835 1.5015 2.3964
100 50.0 3.3450 214.4999 3.3450 1.7895 2.5203
110 55.0 3.3588 205.5735 3.3588 2.0636 2.2794
120 60.0 3.3405 217.4661 3.3405 2.3989 2.0770
130 65.0 3.3285 225.4504 3.3285 2.6899 1.7002
140 70.0 3.3361 220.3776 3.3361 2.8749 1.9897
150 75.0 3.3289 225.1916 3.3289 2.7345 1.8851
160 80.0 3.4113 173.2669 3.4113 2.8622 2.0218
170 85.0 3.3709 197.8534 3.3709 2.9323 2.0505
180 90.0 3.3594 205.1919 3.3594 2.6906 1.7140
190 95.0 3.3783 193.2279 3.3783 2.5401 1.8636
200 100.0 3.3439 215.2218 3.3439 2.4076 1.8051
210 105.0 3.4750 137.8286 3.4750 2.4745 1.8111
220 110.0 3.4593 146.1941 3.4593 2.7453 1.8980
230 115.0 3.4615 144.9704 3.4615 2.9641 1.9555
240 120.0 3.4300 162.4449 3.4300 2.6865 1.9571
250 125.0 3.4424 155.4555 3.4424 2.5875 2.0302
260 130.0 3.4661 142.5401 3.4661 2.6894 2.0839
270 135.0 3.4183 169.1744 3.4183 2.6885 2.0605
280 140.0 3.4334 160.5323 3.4334 2.6340 2.0084
290 145.0 3.4271 164.1185 3.4271 2.3876 2.0280
300 150.0 3.4182 169.2461 3.4182 2.3790 2.0253
310 155.0 3.4348 159.7157 3.4348 2.6020 1.9964
320 160.0 3.4178 169.4532 3.4178 2.6259 1.9933
330 165.0 3.4378 158.0371 3.4378 2.5162 1.9499
340 170.0 3.4120 172.8733 3.4120 2.3008 1.9381
350 175.0 3.4246 165.5687 3.4246 2.2724 1.9536
360 180.0 3.4529 149.6521 3.4529 2.3839 1.9882
370 185.0 3.4346 159.8625 3.4346 2.4389 2.0156
380 190.0 3.4348 159.7172 3.4348 2.3575 1.9778
390 195.0 3.4470 152.9134 3.4470 2.2392 1.9720
400 200.0 3.4616 144.9366 3.4616 2.2137 1.9876
410 205.0 3.4685 141.2705 3.4685 2.3053 1.9653
420 210.0 3.4608 145.3495 3.4608 2.3719 1.9464
430 215.0 3.4807 134.8453 3.4807 2.2908 1.8859
440 220.0 3.4722 139.2981 3.4722 2.2334 1.8659
450 225.0 3.4876 131.2791 3.4876 2.2725 1.8707
460 230.0 3.4860 132.1089 3.4860 2.3604 1.8283
470 235.0 3.5020 123.9810 3.5020 2.3563 1.8480
480 240.0 3.5112 119.4622 3.5112 2.2400 1.7931
490 245.0 3.5077 121.1628 3.5077 2.2131 1.7720
500 250.0 3.5105 119.7959 3.5105 2.2635 1.7751
510 255.0 3.5021 123.9618 3.5021 2.3409 1.7714
520 260.0 3.5167 116.7863 3.5167 2.3251 1.7454
530 265.0 3.4810 134.6772 3.4810 2.2161 1.6901
540 270.0 3.5243 113.1606 3.5243 2.2482 1.7472
550 275.0 3.4990 125.5143 3.4990 2.3126 1.7793
560 280.0 3.5110 119.5782 3.5110 2.3671 1.7502
570 285.0 3.4955 127.2692 3.4955 2.2954 1.7012
580 290.0 3.5143 117.9554 3.5143 2.1972 1.7513
590 295.0 3.5147 117.7820 3.5147 2.2926 1.8034
600 300.0 3.5138 118.2101 3.5138 2.4694 1.7687
610 305.0 3.4967 126.6660 3.4967 2.4983 1.7613
620 310.0 3.5360 107.6392 3.5360 2.4420 1.8163
630 315.0 3.5329 109.1075 3.5329 2.3289 1.8476
640 320.0 3.5404 105.5947 3.5404 2.3247 1.9115
650 325.0 3.5352 108.0014 3.5352 2.3869 1.9371
660 330.0 3.5343 108.4171 3.5343 2.5304 1.9539
670 335.0 3.5426 104.6300 3.5426 2.6192 1.9574
680 340.0 3.5440 103.9532 3.5440 2.6165 1.9387
690 345.0 3.5570 98.1325 3.5570 2.4935 1.9365
700 350.0 3.5559 98.6041 3.5559 2.3460 1.9366
710 355.0 3.5298 110.5578 3.5298 2.2374 1.9352
720 360.0 3.5542 99.3664 3.5542 2.3773 1.9696
730 365.0 3.5526 100.0917 3.5526 2.4889 1.9863
740 370.0 3.5285 111.1393 3.5285 2.5180 1.9256
750 375.0 3.5559 98.6148 3.5559 2.3934 2.0077
760 380.0 3.5503 101.1167 3.5503 2.2660 2.0323
770 385.0 3.5258 112.4529 3.5258 2.2257 1.9948
780 390.0 3.5478 102.2559 3.5478 2.3679 2.0910
790 395.0 3.5657 94.3138 3.5657 2.4801 2.0794
800 400.0 3.5249 112.8807 3.5249 2.4792 2.0543
810 405.0 3.5651 94.5662 3.5651 2.3987 2.1226
820 410.0 3.5351 108.0503 3.5351 2.2590 2.2051
830 415.0 3.5448 103.6236 3.5448 2.2560 2.2000
840 420.0 3.5101 119.9966 3.5101 2.3320 2.0820
850 425.0 3.5380 106.7338 3.5380 2.3762 2.1562
860 430.0 3.5510 100.8226 3.5510 2.3303 2.1134
870 435.0 3.5092 120.4473 3.5092 2.2335 2.0097
880 440.0 3.5264 112.1256 3.5264 2.2514 2.1178
890 445.0 3.5654 94.4278 3.5654 2.3980 2.0408
900 450.0 3.5429 104.4648 3.5429 2.3560 1.9480
910 455.0 3.5523 100.2273 3.5523 2.2875 1.9262
920 460.0 3.5143 117.9649 3.5143 2.3157 2.0025
930 465.0 3.4942 127.8932 3.4942 2.3610 1.8160
940 470.0 3.5286 111.0908 3.5286 2.4139 1.9499
950 475.0 3.5183 116.0340 3.5183 2.3979 1.8296
960 480.0 3.5538 99.5662 3.5538 2.2830 1.9048
970 485.0 3.5466 102.7985 3.5466 2.2985 1.9737
980 490.0 3.4931 128.4683 3.4931 2.3977 1.8564
990 495.0 3.5105 119.8051 3.5105 2.5015 2.0425
1000 500.0 3.4675 141.7923 3.4675 2.4654 1.8985
1010 505.0 3.5052 122.4107 3.5052 2.3335 2.1561
1020 510.0 3.5034 123.3072 3.5034 2.2503 2.0535
1030 515.0 3.5634 95.3303 3.5634 2.3148 2.1650
1040 520.0 3.5422 104.7762 3.5422 2.4572 2.1919
1050 525.0 3.5369 107.2220 3.5369 2.4468 2.1236
1060 530.0 3.5436 104.1475 3.5436 2.4191 2.1198
1070 535.0 3.5395 106.0148 3.5395 2.3516 2.1650
1080 540.0 3.5538 99.5524 3.5538 2.4147 2.1102
1090 545.0 3.4874 131.3777 3.4874 2.5602 1.9924
1100 550.0 3.5001 124.9471 3.5001 2.4606 2.1076
1110 555.0 3.4941 127.9862 3.4941 2.4184 1.9148
1120 560.0 3.5239 113.3155 3.5239 2.4905 1.9506
1130 565.0 3.5367 107.3164 3.5367 2.6613 1.9190
1140 570.0 3.4942 127.9257 3.4942 2.7413 1.8680
1150 575.0 3.5161 117.0636 3.5161 2.5794 1.9392
1160 580.0 3.5212 114.6397 3.5212 2.3431 1.8614
1170 585.0 3.5109 119.6031 3.5109 2.2013 1.8971
1180 590.0 3.5299 110.4894 3.5299 2.3753 1.9383
1190 595.0 3.4899 130.1078 3.4899 2.6083 1.8083
1200 600.0 3.5043 122.8612 3.5043 2.6392 1.8850
1210 605.0 3.5319 109.5534 3.5319 2.4022 1.9361
1220 610.0 3.5421 104.8157 3.5421 2.0707 2.0144
1230 615.0 3.5421 104.8245 3.5421 2.1926 2.0867
1240 620.0 3.5302 110.3392 3.5302 2.5858 2.0984
1250 625.0 3.4962 126.8845 3.4962 2.7060 2.1638
1260 630.0 3.5089 120.5843 3.5089 2.5942 2.1173
1270 635.0 3.5601 96.7539 3.5601 2.2693 2.0879
1280 640.0 3.5460 103.0709 3.5460 1.9900 2.1654
1290 645.0 3.5717 91.7280 3.5717 2.3852 2.1312
1300 650.0 3.5301 110.4003 3.5301 2.5626 2.1880
1310 655.0 3.5106 119.7740 3.5106 2.4344 2.2157
1320 660.0 3.5420 104.8600 3.5420 2.3582 2.1587
1330 665.0 3.5441 103.9099 3.5441 2.3234 2.1435
1340 670.0 3.5274 111.6635 3.5274 2.1140 2.1564
