# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 232.4044 1.7182 2.5114 2.4126
10 5.0 1.9261 112.3127 1.9261 2.3745 2.3637
20 10.0 2.4656 2.1525 2.4656 1.9107 2.4734
30 15.0 2.5516 11.4839 2.5516 1.8694 2.5226
40 20.0 2.1147 40.7080 2.1147 2.3123 2.4319
50 25.0 1.8047 177.2104 1.8047 2.6656 2.2743
60 30.0 2.0274 69.4072 2.0274 2.4191 2.4745
70 35.0 2.4422 0.8921 2.4422 2.0290 2.4792
80 40.0 2.4635 2.0137 2.4635 2.0894 2.3348
90 45.0 2.1429 33.0590 2.1429 2.4283 2.0278
100 50.0 2.0682 55.0496 2.0682 2.4543 1.9686
110 55.0 2.3500 1.2479 2.3500 2.2256 2.2320
120 60.0 2.4111 0.0621 2.4111 2.1147 2.4192
130 65.0 2.1336 35.4901 2.1336 2.4281 2.4168
140 70.0 1.9830 86.9472 1.9830 2.7206 2.2234
150 75.0 2.0194 72.4323 2.0194 2.6069 2.2785
160 80.0 2.2104 17.9682 2.2104 2.3106 2.3567
170 85.0 2.2741 7.9233 2.2741 2.2791 2.5755
180 90.0 2.1056 43.3385 2.1056 2.5442 2.6365
190 95.0 2.0216 71.5871 2.0216 2.7630 2.4215
200 100.0 2.0708 54.1819 2.0708 2.6794 2.3682
210 105.0 2.1993 20.1397 2.1993 2.3771 2.2507
220 110.0 2.2251 15.2974 2.2251 2.2079 2.3393
230 115.0 2.1437 32.8526 2.1437 2.2846 2.2567
240 120.0 2.0906 47.8698 2.0906 2.4153 2.2766
250 125.0 2.2049 19.0403 2.2049 2.4416 2.4624
260 130.0 2.1773 24.8037 2.1773 2.5622 2.4162
270 135.0 2.0561 59.1233 2.0561 2.7096 2.2924
280 140.0 2.1561 29.7461 2.1561 2.6325 2.3917
290 145.0 2.1947 21.0797 2.1947 2.5242 2.4370
300 150.0 2.1646 27.7180 2.1646 2.5072 2.3071
310 155.0 2.1679 26.9270 2.1679 2.5262 2.3141
320 160.0 2.1935 21.3157 2.1935 2.5571 2.4110
330 165.0 2.1401 33.7695 2.1401 2.6778 2.4230
340 170.0 2.0738 53.2128 2.0738 2.7874 2.3554
350 175.0 2.1198 39.2660 2.1198 2.7511 2.4234
360 180.0 2.1775 24.7488 2.1775 2.6393 2.3743
