# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 1770.5270 1.7182 2.5114 2.4126
10 5.0 2.8860 254.8879 2.8860 1.6094 2.5267
20 10.0 3.1743 90.5963 3.1743 1.7172 2.3463
30 15.0 3.3327 35.7302 3.3327 1.3162 2.2850
40 20.0 3.1328 109.1280 3.1328 1.2237 2.5574
50 25.0 2.9262 226.9928 2.9262 1.8378 1.4952
60 30.0 2.8126 310.0200 2.8126 1.5885 1.6351
70 35.0 3.4097 18.1043 3.4097 1.6626 2.4987
80 40.0 2.8816 258.0831 2.8816 1.5810 2.6109
90 45.0 3.3182 39.6984 3.3182 1.7215 2.3776
100 50.0 3.0937 128.1941 3.0937 1.8966 2.0521
110 55.0 3.3874 22.6004 3.3874 1.8109 2.4779
120 60.0 3.1501 101.1886 3.1501 1.5922 2.5890
130 65.0 3.2796 51.3315 3.2796 1.5475 1.9066
140 70.0 2.9793 192.6080 2.9793 1.9246 1.4319
150 75.0 3.3090 42.3326 3.3090 1.9272 1.7722
160 80.0 3.4182 16.5210 3.4182 1.8205 2.3241
170 85.0 3.3314 36.0619 3.3314 2.0246 2.4166
180 90.0 3.2422 64.0169 3.2422 2.0516 2.2498
190 95.0 3.2447 63.1242 3.2447 2.1449 2.5307
200 100.0 3.4760 7.6898 3.4760 2.0775 2.2993
210 105.0 3.3133 41.1074 3.3133 2.2679 2.0041
220 110.0 3.5771 0.2620 3.5771 1.8998 2.1331
230 115.0 3.4949 5.5250 3.4949 1.6546 2.3551
240 120.0 3.5739 0.3399 3.5739 1.9167 2.2821
250 125.0 3.3137 40.9805 3.3137 2.3361 2.2169
260 130.0 3.3961 20.7779 3.3961 2.1722 2.5764
270 135.0 3.4080 18.4254 3.4080 2.2760 2.5593
280 140.0 3.3474 31.9138 3.3474 2.2270 2.2622
290 145.0 3.4839 6.7433 3.4839 1.8944 2.3397
300 150.0 3.5087 4.1687 3.5087 1.7054 2.2759
310 155.0 3.3960 20.8073 3.3960 1.7995 2.0314
320 160.0 3.3505 31.1164 3.3505 1.9977 1.9663
330 165.0 3.3476 31.8443 3.3476 2.0326 2.1752
340 170.0 3.4131 17.4711 3.4131 2.0885 2.0670
350 175.0 3.3589 29.0759 3.3589 1.9474 1.8903
360 180.0 3.4246 15.3739 3.4246 2.0505 1.8371
370 185.0 3.3291 36.6941 3.3291 1.9647 1.7183
380 190.0 3.3116 41.5869 3.3116 1.9552 1.6728
390 195.0 3.4126 17.5550 3.4126 2.0542 1.7450
400 200.0 3.3078 42.6823 3.3078 2.2387 1.6807
410 205.0 3.4005 19.9038 3.4005 2.1749 1.7806
420 210.0 3.4386 13.0293 3.4386 2.0146 1.8926
430 215.0 3.4405 12.7204 3.4405 2.0024 1.7503
440 220.0 3.3073 42.8226 3.3073 2.0863 1.5753
450 225.0 3.3610 28.5594 3.3610 2.1149 1.6338
460 230.0 3.4114 17.7910 3.4114 2.1119 1.7406
470 235.0 3.3383 34.2502 3.3383 2.1199 1.6613
480 240.0 3.4162 16.8882 3.4162 2.0577 1.7270
490 245.0 3.4229 15.6839 3.4229 2.0160 1.7746
500 250.0 3.4053 18.9547 3.4053 1.9938 1.7888
510 255.0 3.4247 15.3630 3.4247 2.0060 1.8495
520 260.0 3.3844 23.2511 3.3844 2.0811 1.8201
530 265.0 3.3411 33.5247 3.3411 2.1064 1.7716
540 270.0 3.4170 16.7514 3.4170 1.9794 1.8581
550 275.0 3.3445 32.6392 3.3445 1.9657 1.7708
560 280.0 3.3818 23.8042 3.3818 2.0609 1.8310
570 285.0 3.4071 18.6030 3.4071 2.1588 1.9358
580 290.0 3.3666 27.2297 3.3666 2.2048 1.8642
590 295.0 3.4333 13.8958 3.4333 2.1455 1.9691
600 300.0 3.4392 12.9257 3.4392 2.1692 2.0432
610 305.0 3.4205 16.1056 3.4205 2.2135 1.9977
620 310.0 3.4649 9.1248 3.4649 2.3271 2.0606
630 315.0 3.4732 8.0370 3.4732 2.4245 2.1130
640 320.0 3.4848 6.6304 3.4848 2.4617 2.0517
650 325.0 3.4912 5.9210 3.4912 2.4457 2.0666
660 330.0 3.4897 6.0788 3.4897 2.3605 2.1680
670 335.0 3.4718 8.2200 3.4718 2.3614 2.2620
680 340.0 3.5223 3.0187 3.5223 2.3571 2.2353
690 345.0 3.4787 7.3587 3.4787 2.2269 2.1936
700 350.0 3.5089 4.1534 3.5089 2.3963 2.3022
710 355.0 3.5289 2.5277 3.5289 2.2993 2.2523
720 360.0 3.4754 7.7629 3.4754 2.1767 2.1873
730 365.0 3.5435 1.5934 3.5435 2.2810 2.2561
740 370.0 3.5144 3.6672 3.5144 2.3841 2.2880
750 375.0 3.4714 8.2638 3.4714 2.3076 2.2146
760 380.0 3.5081 4.2252 3.5081 2.2192 2.2773
770 385.0 3.4722 8.1645 3.4722 2.1750 2.3903
780 390.0 3.5091 4.1285 3.5091 2.2444 2.2855
790 395.0 3.4862 6.4765 3.4862 2.3795 2.1712
800 400.0 3.4509 11.1206 3.4509 2.2542 2.2042
810 405.0 3.4131 17.4578 3.4131 2.2163 2.2357
820 410.0 3.4396 12.8708 3.4396 2.2617 2.0837
830 415.0 3.4794 7.2725 3.4794 2.2143 2.1769
840 420.0 3.4711 8.3127 3.4711 2.2644 2.2652
850 425.0 3.4700 8.4535 3.4700 2.1640 2.3006
860 430.0 3.4655 9.0463 3.4655 2.2555 2.3002
870 435.0 3.4584 10.0320 3.4584 2.3733 2.2916
880 440.0 3.4703 8.4155 3.4703 2.3670 2.2593
890 445.0 3.4860 6.4950 3.4860 2.3256 2.2496
900 450.0 3.4839 6.7349 3.4839 2.3090 2.2696
910 455.0 3.5067 4.3535 3.5067 2.3220 2.2507
920 460.0 3.5091 4.1346 3.5091 2.3921 2.2594
930 465.0 3.5192 3.2657 3.5192 2.3521 2.2478
940 470.0 3.4992 5.0805 3.4992 2.3454 2.2694
950 475.0 3.5051 4.5043 3.5051 2.3483 2.2123
960 480.0 3.4601 9.7845 3.4601 2.3020 2.3049
970 485.0 3.4662 8.9551 3.4662 2.2520 2.2393
980 490.0 3.4501 11.2298 3.4501 2.3166 2.3069
990 495.0 3.4695 8.5153 3.4695 2.2154 2.2487
1000 500.0 3.4861 6.4908 3.4861 2.2675 2.3277
1010 505.0 3.5159 3.5381 3.5159 2.3231 2.3030
1020 510.0 3.5204 3.1676 3.5204 2.2935 2.3608
1030 515.0 3.4676 8.7678 3.4676 2.3038 2.4918
1040 520.0 3.5056 4.4583 3.5056 2.3190 2.4372
1050 525.0 3.5124 3.8395 3.5124 2.2912 2.5079
