# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 3.3431 1.7182 2.5114 2.4126
10 5.0 1.7794 0.2121 1.7794 2.4707 2.3681
20 10.0 1.6857 6.5339 1.6857 2.5912 2.3432
30 15.0 1.6408 12.6675 1.6408 2.6325 2.3352
40 20.0 1.7239 2.8943 1.7239 2.4869 2.3107
50 25.0 1.7670 0.5433 1.7670 2.4583 2.2821
60 30.0 1.6761 7.6814 1.6761 2.5718 2.1749
70 35.0 1.6503 11.2033 1.6503 2.5894 2.1838
80 40.0 1.7524 1.1351 1.7524 2.4804 2.3279
90 45.0 1.7816 0.1695 1.7816 2.3842 2.4430
100 50.0 1.6682 8.6801 1.6682 2.5205 2.4227
110 55.0 1.6345 13.6870 1.6345 2.6058 2.4389
120 60.0 1.7322 2.2992 1.7322 2.5198 2.3518
130 65.0 1.7822 0.1583 1.7822 2.4815 2.3418
140 70.0 1.6944 5.5782 1.6944 2.5906 2.4206
150 75.0 1.6541 10.6430 1.6541 2.5536 2.2848
160 80.0 1.7480 1.3524 1.7480 2.5185 2.2643
170 85.0 1.7935 0.0212 1.7935 2.5205 2.2414
180 90.0 1.7086 4.1815 1.7086 2.5361 2.1460
190 95.0 1.6732 8.0358 1.6732 2.5681 2.1030
200 100.0 1.7433 1.6050 1.7433 2.5946 2.1976
210 105.0 1.7526 1.1240 1.7526 2.6193 2.3205
220 110.0 1.7094 4.1027 1.7094 2.7121 2.4395
230 115.0 1.7242 2.8749 1.7242 2.7925 2.4767
240 120.0 1.6978 5.2241 1.6978 2.8924 2.4191
250 125.0 1.7516 1.1706 1.7516 2.8679 2.4555
260 130.0 1.7734 0.3525 1.7734 2.8329 2.5198
270 135.0 1.7089 4.1465 1.7089 2.6590 2.3771
280 140.0 1.7133 3.7615 1.7133 2.5770 2.2666
290 145.0 1.7850 0.1131 1.7850 2.6488 2.2216
300 150.0 1.7492 1.2901 1.7492 2.7563 2.2300
310 155.0 1.6901 6.0400 1.6901 2.8040 2.3181
320 160.0 1.7935 0.0211 1.7935 2.7640 2.4107
330 165.0 1.7810 0.1800 1.7810 2.8320 2.4748
340 170.0 1.6516 11.0132 1.6516 2.8312 2.5350
350 175.0 1.7001 4.9884 1.7001 2.9247 2.4464
360 180.0 1.7833 0.1387 1.7833 2.8451 2.3986
370 185.0 1.7607 0.7713 1.7607 2.8104 2.5025
380 190.0 1.7033 4.6708 1.7033 2.6605 2.4786
390 195.0 1.7130 3.7864 1.7130 2.6106 2.3310
