# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 232.4044 1.7182 2.5114 2.4126
10 5.0 1.9832 86.8742 1.9832 2.3230 2.3795
20 10.0 2.6156 23.2387 2.6156 1.8540 2.5325
30 15.0 2.6373 28.1615 2.6373 1.9168 2.5279
40 20.0 2.0489 61.6416 2.0489 2.4750 2.3143
50 25.0 1.9533 99.7482 1.9533 2.5910 2.2252
60 30.0 2.2952 5.4889 2.2952 2.1498 2.4957
70 35.0 2.5915 18.3363 2.5915 1.9254 2.7165
80 40.0 2.4767 2.9439 2.4767 2.1580 2.5172
90 45.0 2.2728 8.0903 2.2728 2.4623 2.1581
100 50.0 2.1878 22.5133 2.1878 2.6655 1.8804
110 55.0 2.2330 13.9423 2.2330 2.6249 1.7046
120 60.0 2.4850 3.6099 2.4850 2.7510 1.5577
130 65.0 2.5465 10.7269 2.5465 3.0771 1.2495
140 70.0 2.6339 27.3526 2.6339 3.1171 1.3877
150 75.0 2.4217 0.2358 2.4217 2.9065 1.4362
160 80.0 2.2224 15.7653 2.2224 2.8435 1.3910
170 85.0 2.2671 8.8290 2.2671 2.6577 1.4946
180 90.0 2.3734 0.3543 2.3734 2.6018 1.5226
190 95.0 2.5035 5.3604 2.5035 2.8197 1.3526
200 100.0 2.6056 21.1440 2.6056 2.9988 1.2787
210 105.0 2.5418 10.0495 2.5418 3.0070 1.3195
220 110.0 2.3204 3.1644 2.3204 3.0751 1.3108
230 115.0 2.3848 0.1150 2.3848 2.8900 1.4444
240 120.0 2.4690 2.3830 2.4690 2.8961 1.4028
250 125.0 2.4214 0.2284 2.4214 3.0130 1.2711
260 130.0 2.4595 1.7683 2.4595 2.9259 1.4035
270 135.0 2.4126 0.0790 2.4126 2.8881 1.4737
280 140.0 2.3477 1.3657 2.3477 2.9577 1.3834
290 145.0 2.4452 1.0230 2.4452 2.9626 1.3312
300 150.0 2.5086 5.8999 2.5086 2.9467 1.2905
310 155.0 2.4758 2.8727 2.4758 2.8559 1.3311
320 160.0 2.3620 0.7218 2.3620 2.7874 1.4112
330 165.0 2.2883 6.2353 2.2883 2.7962 1.4367
340 170.0 2.3914 0.0371 2.3914 2.7874 1.3974
350 175.0 2.4763 2.9121 2.4763 2.8077 1.3192
360 180.0 2.4600 1.7978 2.4600 2.7571 1.3343
370 185.0 2.3877 0.0762 2.3877 2.6703 1.4367
380 190.0 2.2595 9.8715 2.2595 2.6881 1.4219
390 195.0 2.3929 0.0250 2.3929 2.6204 1.3925
400 200.0 2.4949 4.5019 2.4949 2.5655 1.3977
410 205.0 2.3930 0.0244 2.3930 2.6320 1.3305
420 210.0 2.3593 0.8287 2.3593 2.5879 1.4012
430 215.0 2.3947 0.0141 2.3947 2.5582 1.4675
440 220.0 2.3500 1.2496 2.3500 2.6802 1.3835
450 225.0 2.3479 1.3585 2.3479 2.7391 1.3747
460 230.0 2.4461 1.0639 2.4461 2.6795 1.4799
470 235.0 2.3745 0.3246 2.3745 2.8414 1.3803
480 240.0 2.3463 1.4407 2.3463 2.9883 1.3061
490 245.0 2.4617 1.9012 2.4617 2.9583 1.4455
500 250.0 2.4358 0.6412 2.4358 2.9555 1.3872
510 255.0 2.3344 2.1524 2.3344 2.8032 1.2844
520 260.0 2.3979 0.0022 2.3979 2.6866 1.4373
530 265.0 2.3950 0.0127 2.3950 2.5709 1.4245
540 270.0 2.3275 2.6275 2.3275 2.4336 1.2880
550 275.0 2.4413 0.8523 2.4413 2.2023 1.4153
560 280.0 2.4159 0.1268 2.4159 2.1079 1.3642
570 285.0 2.3885 0.0665 2.3885 2.1025 1.3151
580 290.0 2.4077 0.0298 2.4077 2.1233 1.4079
590 295.0 2.3689 0.4835 2.3689 2.3155 1.3141
600 300.0 2.4443 0.9792 2.4443 2.4864 1.3845
610 305.0 2.4312 0.4869 2.4312 2.6137 1.4098
620 310.0 2.3436 1.5908 2.3436 2.7234 1.2955
630 315.0 2.4430 0.9252 2.4430 2.7509 1.3996
640 320.0 2.4305 0.4662 2.4305 2.7171 1.3827
650 325.0 2.3598 0.8088 2.3598 2.6056 1.3128
660 330.0 2.4296 0.4374 2.4296 2.4206 1.4650
670 335.0 2.3447 1.5268 2.3447 2.3725 1.3606
680 340.0 2.3246 2.8431 2.3246 2.3119 1.3361
690 345.0 2.4318 0.5066 2.4318 2.2253 1.4959
700 350.0 2.3866 0.0894 2.3866 2.3572 1.3266
710 355.0 2.3304 2.4236 2.3304 2.3518 1.3658
720 360.0 2.3793 0.2132 2.3793 2.3020 1.5052
730 365.0 2.3645 0.6284 2.3645 2.3902 1.3949
740 370.0 2.3753 0.3056 2.3753 2.4623 1.3082
750 375.0 2.4421 0.8877 2.4421 2.4160 1.4217
760 380.0 2.3639 0.6527 2.3639 2.4271 1.3561
770 385.0 2.3238 2.9008 2.3238 2.4616 1.3652
780 390.0 2.3983 0.0015 2.3983 2.5072 1.4497
790 395.0 2.3623 0.7121 2.3623 2.6066 1.3279
800 400.0 2.3930 0.0242 2.3930 2.7069 1.3623
810 405.0 2.4118 0.0698 2.4118 2.8180 1.4243
820 410.0 2.2990 5.0967 2.2990 2.8949 1.3448
830 415.0 2.3675 0.5276 2.3675 3.0149 1.3781
840 420.0 2.4663 2.1982 2.4663 2.9685 1.4563
850 425.0 2.3738 0.3421 2.3738 3.0151 1.3230
860 430.0 2.3792 0.2172 2.3792 2.9047 1.3823
870 435.0 2.4217 0.2346 2.4217 2.7451 1.5320
880 440.0 2.3000 5.0001 2.3000 2.8079 1.4396
890 445.0 2.2308 14.3197 2.2308 2.8564 1.3724
900 450.0 2.4138 0.0958 2.4138 2.7350 1.4931
910 455.0 2.4811 3.2860 2.4811 2.8534 1.3973
920 460.0 2.4234 0.2743 2.4234 2.9552 1.2786
930 465.0 2.4790 3.1184 2.4790 2.7560 1.4742
940 470.0 2.3320 2.3125 2.3320 2.8250 1.3653
950 475.0 2.3431 1.6189 2.3431 2.8582 1.3269
960 480.0 2.5123 6.3024 2.5123 2.7631 1.4506
970 485.0 2.3848 0.1163 2.3848 2.8927 1.2860
980 490.0 2.4147 0.1077 2.4147 2.7703 1.3982
990 495.0 2.4501 1.2562 2.4501 2.7361 1.4263
1000 500.0 2.3554 0.9959 2.3554 2.8568 1.2710
1010 505.0 2.4636 2.0233 2.4636 2.6634 1.4638
1020 510.0 2.3941 0.0171 2.3941 2.6933 1.4049
