# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 141.3891 1.7182 2.5114 2.4126
10 5.0 1.9507 44.7892 1.9507 2.3462 2.3818
20 10.0 2.3283 3.0653 2.3283 2.0628 2.4082
30 15.0 2.2640 0.0987 2.2640 2.2269 2.2948
40 20.0 1.9162 55.7169 1.9162 2.5974 2.1836
50 25.0 2.0352 23.0598 2.0352 2.5251 2.4096
60 30.0 2.1949 1.5185 2.1949 2.2237 2.5897
70 35.0 2.1530 4.7065 2.1530 2.1219 2.6320
80 40.0 2.1096 9.8579 2.1096 2.1979 2.5926
90 45.0 2.1806 2.4076 2.1806 2.4188 2.5528
100 50.0 2.0342 23.2807 2.0342 2.6592 2.1520
110 55.0 2.1399 6.0560 2.1399 2.4761 1.9805
120 60.0 2.2717 0.2361 2.2717 2.3487 1.8714
130 65.0 2.1537 4.6394 2.1537 2.4097 1.6065
140 70.0 2.0552 18.9732 2.0552 2.4482 1.2821
150 75.0 2.2861 0.6527 2.2861 2.1936 1.4421
160 80.0 2.3292 3.1332 2.3292 2.1848 1.4834
170 85.0 2.0950 12.0094 2.0950 2.5038 1.2734
180 90.0 2.1527 4.7303 2.1527 2.4923 1.4610
190 95.0 2.2687 0.1755 2.2687 2.3901 1.6401
200 100.0 2.1207 8.3529 2.1207 2.4704 1.5087
210 105.0 2.0976 11.6116 2.0976 2.4771 1.2968
220 110.0 2.3610 6.1647 2.3610 2.2005 1.3930
230 115.0 2.3015 1.3277 2.3015 2.2529 1.3084
240 120.0 2.0718 15.8709 2.0718 2.4043 1.3850
250 125.0 2.1771 2.6538 2.1771 2.2539 1.6236
260 130.0 2.2354 0.1068 2.2354 2.2205 1.5467
270 135.0 2.1067 10.2692 2.1067 2.3710 1.2590
280 140.0 2.2200 0.4499 2.2200 2.1618 1.4742
290 145.0 2.2517 0.0014 2.2517 2.1190 1.5448
300 150.0 2.1063 10.3200 2.1063 2.3598 1.3012
310 155.0 2.2272 0.2601 2.2272 2.2839 1.4021
320 160.0 2.3066 1.6025 2.3066 2.2248 1.5084
330 165.0 2.1224 8.1359 2.1224 2.4494 1.3291
340 170.0 2.1651 3.6035 2.1651 2.4124 1.3831
350 175.0 2.3324 3.3941 2.3324 2.2273 1.5028
360 180.0 2.2429 0.0250 2.2429 2.3521 1.3271
370 185.0 2.2157 0.5877 2.2157 2.3606 1.3616
380 190.0 2.2536 0.0066 2.2536 2.2646 1.5096
390 195.0 2.1886 1.8864 2.1886 2.3042 1.3830
400 200.0 2.2267 0.2708 2.2267 2.2764 1.3046
410 205.0 2.3181 2.3210 2.3181 2.1575 1.4355
420 210.0 2.1633 3.7544 2.1633 2.3347 1.3361
430 215.0 2.1194 8.5272 2.1194 2.3919 1.3571
440 220.0 2.2804 0.4613 2.2804 2.2232 1.4530
450 225.0 2.2441 0.0172 2.2441 2.3322 1.2874
460 230.0 2.2272 0.2603 2.2272 2.3189 1.4084
470 235.0 2.1726 2.9930 2.1726 2.3610 1.4954
480 240.0 2.0885 13.0353 2.0885 2.4459 1.3647
490 245.0 2.2009 1.2040 2.2009 2.3279 1.3504
500 250.0 2.3075 1.6539 2.3075 2.2231 1.4066
510 255.0 2.1532 4.6877 2.1532 2.4046 1.3073
520 260.0 2.0880 13.1288 2.0880 2.4589 1.4528
530 265.0 2.1417 5.8642 2.1417 2.3767 1.6212
540 270.0 2.1644 3.6609 2.1644 2.3406 1.6030
550 275.0 2.1151 9.0948 2.1151 2.3976 1.3925
560 280.0 2.2022 1.1420 2.2022 2.3209 1.3187
570 285.0 2.3353 3.6358 2.3353 2.1409 1.5121
580 290.0 2.1261 7.6694 2.1261 2.3934 1.3972
590 295.0 1.9900 33.8045 1.9900 2.5773 1.3297
600 300.0 2.1344 6.6864 2.1344 2.3604 1.4880
