# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 1770.5270 1.7182 2.5114 2.4126
10 5.0 2.8217 302.8912 2.8217 1.6371 2.4911
20 10.0 2.7914 326.9064 2.7914 1.5722 2.6878
30 15.0 3.2080 76.8304 3.2080 1.5856 2.5393
40 20.0 3.0166 170.1553 3.0166 1.9110 2.7944
50 25.0 3.3412 33.4963 3.3412 1.4994 2.5826
60 30.0 3.1590 97.2335 3.1590 1.3638 2.7039
70 35.0 3.2980 45.6161 3.2980 1.0061 2.4751
80 40.0 3.3919 21.6598 3.3919 1.1311 2.4634
90 45.0 3.2352 66.5567 3.2352 1.2109 2.0846
100 50.0 3.2927 47.2180 3.2927 1.0995 2.5579
110 55.0 3.2171 73.3154 3.2171 0.9310 2.6013
120 60.0 3.3122 41.4225 3.3122 1.0561 2.1605
130 65.0 3.4438 12.1977 3.4438 0.9584 2.2749
140 70.0 3.2882 48.6189 3.2882 0.9885 2.5720
150 75.0 3.5415 1.7100 3.5415 1.0662 2.2020
160 80.0 3.3805 24.0950 3.3805 1.0548 2.0028
170 85.0 3.5304 2.4237 3.5304 1.0426 2.3973
180 90.0 3.4637 9.2868 3.4637 1.0360 2.5044
190 95.0 3.4714 8.2710 3.4714 1.0592 2.2497
200 100.0 3.5702 0.4429 3.5702 1.1445 2.3843
210 105.0 3.3863 22.8253 3.3863 0.9292 2.6084
220 110.0 3.5635 0.6676 3.5635 1.2113 2.4538
230 115.0 3.3916 21.7181 3.3916 1.1312 2.2777
240 120.0 3.4733 8.0242 3.4733 0.9423 2.5542
250 125.0 3.4537 10.7039 3.4537 1.2152 2.6382
260 130.0 3.4795 7.2549 3.4795 1.0395 2.4920
270 135.0 3.4724 8.1361 3.4724 1.1838 2.6103
280 140.0 3.3316 36.0060 3.3316 0.9801 2.7626
290 145.0 3.3995 20.0993 3.3995 1.1215 2.4282
300 150.0 3.4691 8.5627 3.4691 1.0442 2.5508
310 155.0 3.3501 31.2341 3.3501 1.0189 2.7686
320 160.0 3.3910 21.8398 3.3910 1.0525 2.4886
330 165.0 3.4545 10.5916 3.4545 0.9996 2.4678
340 170.0 3.4624 9.4682 3.4624 1.0713 2.5323
350 175.0 3.4406 12.7098 3.4406 1.0054 2.3907
360 180.0 3.4799 7.2109 3.4799 1.0140 2.5292
370 185.0 3.4449 12.0220 3.4449 0.9793 2.5282
380 190.0 3.4330 13.9366 3.4330 1.0401 2.3456
390 195.0 3.4992 5.0803 3.4992 1.0029 2.4974
400 200.0 3.4387 13.0147 3.4387 0.9971 2.5995
410 205.0 3.4307 14.3367 3.4307 1.0225 2.3916
420 210.0 3.5045 4.5624 3.5045 1.0209 2.4957
