# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 141.3891 1.7182 2.5114 2.4126
10 5.0 1.8997 61.3634 1.8997 2.3965 2.3724
20 10.0 2.2064 0.9518 2.2064 2.1413 2.3776
30 15.0 2.1678 3.3778 2.1678 2.2408 2.3521
40 20.0 1.9349 49.6434 1.9349 2.5528 2.1472
50 25.0 1.8934 63.5802 1.8934 2.5949 2.0251
60 30.0 2.0848 13.6397 2.0848 2.3195 2.3622
70 35.0 2.2454 0.0104 2.2454 2.2010 2.5189
80 40.0 2.0631 17.4634 2.0631 2.4405 2.3572
90 45.0 1.8905 64.6132 1.8905 2.7441 2.0825
100 50.0 2.0130 28.0770 2.0130 2.6513 2.2122
110 55.0 2.1367 6.4223 2.1367 2.3928 2.3404
120 60.0 2.1144 9.1977 2.1144 2.3721 2.2846
130 65.0 2.0626 17.5626 2.0626 2.5397 2.3911
140 70.0 1.9496 45.1174 1.9496 2.7187 2.2418
150 75.0 1.9639 40.9246 1.9639 2.6735 2.2811
160 80.0 2.0802 14.4108 2.0802 2.4568 2.4255
170 85.0 2.1086 9.9930 2.1086 2.4068 2.4362
180 90.0 2.0365 22.7813 2.0365 2.5521 2.2789
190 95.0 1.9880 34.3210 1.9880 2.6308 2.2154
200 100.0 2.0580 18.4362 2.0580 2.4735 2.3805
210 105.0 2.1200 8.4532 2.1200 2.3600 2.4788
220 110.0 2.0359 22.9151 2.0359 2.4724 2.3159
230 115.0 1.9852 35.0491 1.9852 2.6139 2.1920
240 120.0 2.0304 24.1058 2.0304 2.5897 2.3201
250 125.0 2.1279 7.4569 2.1279 2.4807 2.5335
260 130.0 2.0785 14.7120 2.0785 2.5202 2.5098
270 135.0 1.9876 34.4230 1.9876 2.6306 2.3428
280 140.0 1.9818 35.9650 1.9818 2.6051 2.3004
290 145.0 2.0428 21.4716 2.0428 2.4698 2.3993
300 150.0 2.1164 8.9276 2.1164 2.4237 2.5473
310 155.0 2.0056 29.8553 2.0056 2.5714 2.4557
320 160.0 1.9697 39.2915 1.9697 2.7067 2.3213
330 165.0 1.9651 40.5761 1.9651 2.6583 2.3300
340 170.0 2.0625 17.5805 2.0625 2.5273 2.4047
350 175.0 2.0865 13.3661 2.0865 2.4588 2.4576
360 180.0 2.0759 15.1471 2.0759 2.4970 2.4256
370 185.0 2.0999 11.2646 2.0999 2.5802 2.3502
380 190.0 2.0175 27.0362 2.0175 2.6197 2.2351
390 195.0 2.0326 23.6406 2.0326 2.6040 2.2417
400 200.0 2.1035 10.7384 2.1035 2.6031 2.3436
410 205.0 2.0926 12.3828 2.0926 2.5929 2.3781
420 210.0 2.0725 15.7538 2.0725 2.6046 2.3305
430 215.0 2.0318 23.8040 2.0318 2.6408 2.2744
440 220.0 2.0051 29.9994 2.0051 2.5079 2.3657
450 225.0 2.0285 24.5283 2.0285 2.4648 2.4738
460 230.0 2.0438 21.2505 2.0438 2.5423 2.4979
470 235.0 1.9821 35.8937 1.9821 2.5189 2.3573
480 240.0 2.0021 30.7353 2.0021 2.5114 2.3685
490 245.0 2.0047 30.0981 2.0047 2.5131 2.3658
500 250.0 1.9939 32.7944 1.9939 2.4391 2.4926
510 255.0 2.0201 26.4287 2.0201 2.4864 2.5156
520 260.0 1.9753 37.7378 1.9753 2.4623 2.4293
530 265.0 1.9688 39.5277 1.9688 2.4762 2.3218
