# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 1499.5117 1.7182 2.5114 2.4126
10 5.0 2.7112 272.8763 2.7112 1.6779 2.3059
20 10.0 2.7526 243.1562 2.7526 1.4143 2.6626
30 15.0 2.9694 115.4784 2.9694 1.3681 2.2791
40 20.0 3.0314 87.6266 3.0314 1.1048 2.6400
50 25.0 3.3659 3.5338 3.3659 1.3938 2.5426
60 30.0 3.3888 1.8708 3.3888 1.2969 2.4845
70 35.0 3.3166 8.9031 3.3166 0.8852 2.4917
80 40.0 3.3592 4.1256 3.3592 1.2693 2.1858
90 45.0 3.1759 37.5687 3.1759 0.9654 2.2075
100 50.0 3.4562 0.0189 3.4562 1.1633 2.3806
110 55.0 3.2942 12.1358 3.2942 1.0507 2.5989
120 60.0 3.3180 8.7173 3.3180 1.0767 2.5968
130 65.0 3.4209 0.4231 3.4209 1.1921 2.3802
140 70.0 3.2659 16.9373 3.2659 0.8990 2.3019
150 75.0 3.4455 0.0102 3.4455 1.2619 2.4304
160 80.0 3.3012 11.0741 3.3012 1.2132 2.4720
170 85.0 3.4322 0.1583 3.4322 1.1881 2.5634
180 90.0 3.4031 1.1011 3.4031 1.1032 2.4943
190 95.0 3.3168 8.8697 3.3168 1.1107 2.4495
200 100.0 3.4090 0.8397 3.4090 1.0003 2.5252
210 105.0 3.3365 6.4458 3.3365 1.1517 2.5936
220 110.0 3.3551 4.5052 3.3551 0.9216 2.4296
230 115.0 3.4449 0.0131 3.4449 1.1589 2.4739
240 120.0 3.2398 22.0888 3.2398 0.9447 2.6188
250 125.0 3.3641 3.6864 3.3641 1.1126 2.5543
260 130.0 3.2805 14.3734 3.2805 0.9896 2.5117
270 135.0 3.3025 10.8835 3.3025 1.0785 2.5619
280 140.0 3.3573 4.2952 3.3573 1.0384 2.6053
290 145.0 3.3409 5.9505 3.3409 1.0284 2.5992
300 150.0 3.3269 7.5744 3.3269 1.0788 2.3594
