# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 1499.5117 1.7182 2.5114 2.4126
10 5.0 2.6401 327.9414 2.6401 1.7194 2.2657
20 10.0 2.7119 272.3946 2.7119 1.4575 2.6848
30 15.0 2.5703 386.9672 2.5703 1.0784 2.2548
40 20.0 3.2815 14.1966 3.2815 1.2388 2.4537
50 25.0 2.9388 130.6475 2.9388 1.0843 2.5403
60 30.0 3.1205 54.2958 3.1205 1.1984 2.2937
70 35.0 3.0077 97.8175 3.0077 0.9416 2.3020
80 40.0 3.3728 2.9831 3.3728 1.2291 2.4760
90 45.0 3.2233 25.7001 3.2233 1.4063 2.3690
100 50.0 3.2698 16.2438 3.2698 1.1526 2.6215
110 55.0 3.1790 36.7293 3.1790 0.9648 2.7171
120 60.0 3.4604 0.0542 3.4604 1.2853 2.4549
130 65.0 3.2626 17.5646 3.2626 0.9190 2.4385
140 70.0 3.4166 0.5583 3.4166 1.2065 2.6129
150 75.0 3.4143 0.6375 3.4143 1.2784 2.6173
160 80.0 3.3077 10.1308 3.3077 1.2286 2.3738
170 85.0 3.2815 14.2017 3.2815 0.9548 2.6680
180 90.0 3.3379 6.2808 3.3379 1.1125 2.5394
190 95.0 3.1624 41.3483 3.1624 1.1190 2.4653
200 100.0 3.4213 0.4109 3.4213 0.9782 2.6204
210 105.0 3.3209 8.3367 3.3209 1.0440 2.7222
220 110.0 3.3018 10.9851 3.3018 1.0970 2.4367
230 115.0 3.3980 1.3502 3.3980 1.1933 2.5706
240 120.0 3.2922 12.4438 3.2922 1.1376 2.7137
250 125.0 3.2837 13.8238 3.2837 1.1632 2.6668
260 130.0 3.3429 5.7340 3.3429 1.1900 2.6567
270 135.0 3.3081 10.0631 3.3081 1.2110 2.8650
280 140.0 3.2812 14.2481 3.2812 1.0742 2.7508
290 145.0 3.3224 8.1419 3.3224 1.1375 2.8087
300 150.0 3.2262 25.0362 3.2262 1.1926 2.6814
310 155.0 3.3959 1.4641 3.3959 1.2065 2.6114
320 160.0 3.4030 1.1063 3.4030 1.2775 2.5894
330 165.0 3.2809 14.2902 3.2809 1.0976 2.7696
340 170.0 3.3847 2.1296 3.3847 1.1278 2.7533
350 175.0 3.3902 1.7906 3.3902 0.9895 2.6133
360 180.0 3.4399 0.0506 3.4399 1.1051 2.6130
370 185.0 3.3654 3.5761 3.3654 1.2694 2.7066
380 190.0 3.3424 5.7890 3.3424 0.9956 2.7154
390 195.0 3.3741 2.8800 3.3741 1.0529 2.7375
400 200.0 3.3563 4.3912 3.3563 1.0668 2.7501
410 205.0 3.2872 13.2542 3.2872 0.9850 2.7124
420 210.0 3.3372 6.3641 3.3372 1.1652 2.7968
430 215.0 3.3204 8.3980 3.3204 0.9304 2.8155
440 220.0 3.3763 2.7163 3.3763 1.0966 2.7958
450 225.0 3.3500 4.9993 3.3500 0.9275 2.8711
460 230.0 3.3898 1.8119 3.3898 1.1118 2.8556
470 235.0 3.3584 4.1997 3.3584 1.1243 2.8345
480 240.0 3.3400 6.0497 3.3400 0.9779 2.8074
490 245.0 3.3568 4.3469 3.3568 1.0406 2.8585
500 250.0 3.3095 9.8638 3.3095 1.1342 2.8368
510 255.0 3.3713 3.0998 3.3713 1.1053 2.7153
520 260.0 3.3644 3.6639 3.3644 1.0270 2.7346
530 265.0 3.3669 3.4533 3.3669 1.0802 2.7578
540 270.0 3.3588 4.1550 3.3588 1.0665 2.7317
550 275.0 3.3446 5.5572 3.3446 1.0519 2.7676
560 280.0 3.3636 3.7334 3.3636 1.0868 2.6604
570 285.0 3.3864 2.0212 3.3864 1.0558 2.5394
580 290.0 3.3976 1.3721 3.3976 1.0316 2.5067
590 295.0 3.3926 1.6464 3.3926 1.1113 2.5669
600 300.0 3.4070 0.9238 3.4070 1.1223 2.5830
610 305.0 3.4136 0.6613 3.4136 1.0200 2.5151
620 310.0 3.4052 1.0038 3.4052 1.0366 2.5248
630 315.0 3.4354 0.1070 3.4354 1.0180 2.6534
640 320.0 3.4116 0.7377 3.4116 0.9844 2.6913
650 325.0 3.3446 5.5534 3.3446 1.0167 2.5844
660 330.0 3.4059 0.9717 3.4059 0.9736 2.6119
670 335.0 3.4214 0.4087 3.4214 0.9915 2.5964
680 340.0 3.3828 2.2552 3.3828 1.0068 2.5060
690 345.0 3.3790 2.5238 3.3790 1.0187 2.4873
700 350.0 3.4148 0.6206 3.4148 0.9976 2.5563
710 355.0 3.4197 0.4578 3.4197 1.0145 2.5553
720 360.0 3.4337 0.1324 3.4337 0.9898 2.4936
730 365.0 3.3832 2.2340 3.3832 1.0050 2.3618
740 370.0 3.3956 1.4787 3.3956 0.9998 2.3291
750 375.0 3.4896 0.7845 3.4896 0.9816 2.4118
760 380.0 3.4983 1.1647 3.4983 0.9835 2.4486
770 385.0 3.4645 0.1050 3.4645 0.9849 2.4503
780 390.0 3.4520 0.0021 3.4520 1.0018 2.5100
790 395.0 3.4470 0.0045 3.4470 1.0146 2.5977
800 400.0 3.4017 1.1683 3.4017 0.9914 2.6888
810 405.0 3.3699 3.2063 3.3699 1.0044 2.6310
820 410.0 3.3351 6.6044 3.3351 0.9827 2.6049
830 415.0 3.3361 6.4857 3.3361 1.0067 2.5831
840 420.0 3.3322 6.9373 3.3322 0.9731 2.6460
850 425.0 3.3183 8.6737 3.3183 1.0218 2.7047
860 430.0 3.3244 7.8919 3.3244 0.9939 2.7507
870 435.0 3.3073 10.1866 3.3073 0.9840 2.7742
880 440.0 3.3008 11.1335 3.3008 1.0198 2.7558
890 445.0 3.3061 10.3553 3.3061 0.9749 2.7693
900 450.0 3.3223 8.1478 3.3223 1.0271 2.6319
910 455.0 3.3372 6.3635 3.3372 0.9565 2.6872
920 460.0 3.3883 1.9045 3.3883 1.0425 2.6198
930 465.0 3.3180 8.7127 3.3180 0.9433 2.5937
940 470.0 3.3289 7.3360 3.3289 1.0806 2.6907
950 475.0 3.3223 8.1492 3.3223 0.9438 2.6260
960 480.0 3.3942 1.5552 3.3942 1.1132 2.5802
970 485.0 3.3621 3.8648 3.3621 0.9408 2.6814
980 490.0 3.3948 1.5234 3.3948 1.0968 2.5748
990 495.0 3.3377 6.3020 3.3377 1.0165 2.5476
1000 500.0 3.4164 0.5645 3.4164 1.0058 2.6907
1010 505.0 3.3946 1.5324 3.3946 1.0524 2.7116
1020 510.0 3.3083 10.0434 3.3083 0.9756 2.5035
1030 515.0 3.3645 3.6535 3.3645 1.1099 2.4820
1040 520.0 3.3939 1.5746 3.3939 0.9609 2.6624
1050 525.0 3.3953 1.4967 3.3953 1.0795 2.6963
1060 530.0 3.3701 3.1899 3.3701 1.1488 2.6823
1070 535.0 3.3749 2.8214 3.3749 0.9473 2.7274
1080 540.0 3.3621 3.8666 3.3621 1.1200 2.7259
1090 545.0 3.3604 4.0131 3.3604 1.1728 2.7354
1100 550.0 3.3651 3.6058 3.3651 1.0084 2.6959
1110 555.0 3.3318 6.9853 3.3318 1.0560 2.7573
1120 560.0 3.3507 4.9324 3.3507 1.1983 2.7635
1130 565.0 3.3464 5.3689 3.3464 1.1139 2.8132
1140 570.0 3.3491 5.0909 3.3491 1.0064 2.8322
1150 575.0 3.3618 3.8894 3.3618 1.1582 2.7362
1160 580.0 3.3529 4.7146 3.3529 1.1852 2.6959
1170 585.0 3.3657 3.5548 3.3657 1.0530 2.8299
1180 590.0 3.3708 3.1387 3.3708 1.0132 2.7138
1190 595.0 3.3768 2.6818 3.3768 1.0940 2.7975
1200 600.0 3.3483 5.1669 3.3483 1.1184 2.7567
1210 605.0 3.3823 2.2946 3.3823 1.0011 2.8094
1220 610.0 3.3175 8.7807 3.3175 1.0258 2.6084
1230 615.0 3.3938 1.5809 3.3938 0.9770 2.6838
1240 620.0 3.3746 2.8441 3.3746 1.0496 2.6580
1250 625.0 3.3737 2.9100 3.3737 0.9935 2.6151
1260 630.0 3.4621 0.0729 3.4621 0.9953 2.7966
