# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 3.3431 1.7182 2.5114 2.4126
10 5.0 1.7303 2.4293 1.7303 2.5264 2.3731
20 10.0 1.6110 17.8624 1.6110 2.6973 2.1984
30 15.0 1.6448 12.0483 1.6448 2.6315 2.1642
40 20.0 1.7791 0.2175 1.7791 2.4211 2.3249
50 25.0 1.7253 2.7908 1.7253 2.4412 2.2915
60 30.0 1.6013 19.7468 1.6013 2.6261 2.1763
70 35.0 1.6533 10.7626 1.6533 2.5823 2.2630
80 40.0 1.7988 0.0007 1.7988 2.4057 2.3919
90 45.0 1.7209 3.1273 1.7209 2.4401 2.3083
100 50.0 1.6255 15.2212 1.6255 2.5884 2.1840
110 55.0 1.6846 6.6623 1.6846 2.5929 2.2730
120 60.0 1.7503 1.2332 1.7503 2.5299 2.3443
130 65.0 1.7067 4.3527 1.7067 2.5883 2.2390
140 70.0 1.6127 17.5410 1.6127 2.6225 2.1470
150 75.0 1.7003 4.9720 1.7003 2.5271 2.2854
160 80.0 1.7757 0.2945 1.7757 2.4930 2.3126
170 85.0 1.6579 10.1017 1.6579 2.6438 2.2167
180 90.0 1.6300 14.4564 1.6300 2.6554 2.1858
190 95.0 1.6937 5.6461 1.6937 2.5427 2.2518
200 100.0 1.7543 1.0455 1.7543 2.5223 2.3034
210 105.0 1.6651 9.0944 1.6651 2.6908 2.1451
220 110.0 1.6460 11.8649 1.6460 2.7837 2.1021
230 115.0 1.7208 3.1333 1.7208 2.7154 2.2373
240 120.0 1.7315 2.3482 1.7315 2.7145 2.3219
250 125.0 1.6768 7.5847 1.6768 2.7990 2.2693
260 130.0 1.6501 11.2282 1.6501 2.8272 2.2582
270 135.0 1.7034 4.6613 1.7034 2.7963 2.3006
280 140.0 1.7080 4.2337 1.7080 2.8392 2.2532
290 145.0 1.6745 7.8742 1.6745 2.9143 2.2076
300 150.0 1.7064 4.3824 1.7064 2.8582 2.2851
310 155.0 1.6945 5.5703 1.6945 2.8568 2.3202
320 160.0 1.6864 6.4530 1.6864 2.8559 2.3283
330 165.0 1.6885 6.2163 1.6885 2.8430 2.3280
