# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 640.4504 1.7182 2.5114 2.4126
10 5.0 2.2449 183.0772 2.2449 2.0672 2.3506
20 10.0 3.1411 42.3657 3.1411 1.4509 2.3929
30 15.0 2.9927 10.1771 2.9927 1.1985 1.9955
40 20.0 2.6779 14.8151 2.6779 1.4983 1.8453
50 25.0 2.5902 33.7387 2.5902 1.4351 1.9352
60 30.0 3.1429 42.8999 3.1429 1.0505 2.5177
70 35.0 3.2200 68.4607 3.2200 0.9874 2.6796
80 40.0 2.5763 37.4573 2.5763 1.3060 2.1877
90 45.0 2.7163 8.9361 2.7163 1.0393 2.4396
100 50.0 3.2858 94.9542 3.2858 1.0854 2.4940
110 55.0 2.9114 1.8858 2.9114 0.9694 2.7596
120 60.0 2.5925 33.1528 2.5925 1.0696 2.6810
130 65.0 3.1097 33.7254 3.1097 1.0015 2.6300
140 70.0 3.1062 32.8081 3.1062 0.9683 2.6478
150 75.0 2.7307 7.1113 2.7307 1.1100 2.4583
160 80.0 2.8661 0.1301 2.8661 0.9234 2.6388
170 85.0 2.9925 10.1551 2.9925 1.1083 2.6039
180 90.0 2.7679 3.3677 2.7679 0.9458 2.3980
190 95.0 2.7148 9.1460 2.7148 1.0797 2.1941
200 100.0 2.9630 6.3798 2.9630 0.9712 2.4248
210 105.0 2.9263 2.9107 2.9263 1.0566 2.4233
220 110.0 2.7863 2.0287 2.7863 1.0428 2.4427
230 115.0 2.7578 4.2483 2.7578 0.9656 2.4373
240 120.0 2.8403 0.0473 2.8403 1.0380 2.4020
250 125.0 3.0103 12.8490 3.0103 0.9857 2.5359
260 130.0 2.8917 0.8687 2.8917 1.0263 2.4754
270 135.0 2.7385 6.2159 2.7385 1.0051 2.5132
280 140.0 2.8384 0.0668 2.8384 1.0008 2.6314
290 145.0 2.8669 0.1432 2.8669 1.0123 2.5874
300 150.0 2.7984 1.3311 2.7984 0.9993 2.4982
310 155.0 2.8224 0.3800 2.8224 1.0014 2.4724
320 160.0 2.8803 0.4602 2.8803 0.9921 2.4947
330 165.0 2.8934 0.9421 2.8934 1.0148 2.4568
340 170.0 2.8776 0.3817 2.8776 0.9964 2.4389
350 175.0 2.8584 0.0354 2.8584 1.0100 2.4387
360 180.0 2.8789 0.4172 2.8789 1.0302 2.4408
370 185.0 2.9226 2.6348 2.9226 0.9844 2.4482
380 190.0 2.8916 0.8636 2.8916 1.0525 2.3587
390 195.0 2.8476 0.0029 2.8476 0.9476 2.3884
400 200.0 2.8380 0.0722 2.8380 1.0282 2.3619
410 205.0 2.8199 0.4534 2.8199 0.9618 2.4372
420 210.0 2.7848 2.1275 2.7848 1.0079 2.4526
430 215.0 2.9249 2.8017 2.9249 1.0091 2.6101
440 220.0 2.9710 7.3174 2.9710 1.1412 2.6022
450 225.0 2.9743 7.7278 2.9743 0.9878 2.6216
460 230.0 2.8543 0.0092 2.8543 1.0397 2.4874
470 235.0 2.9177 2.2915 2.9177 0.9741 2.5230
480 240.0 2.8721 0.2447 2.8721 1.0540 2.4193
490 245.0 2.8549 0.0121 2.8549 1.0384 2.3547
500 250.0 2.9159 2.1721 2.9159 0.9921 2.3088
510 255.0 2.8012 1.1923 2.8012 1.0189 2.1765
520 260.0 2.7383 6.2427 2.7383 0.9696 2.2059
530 265.0 2.8555 0.0152 2.8555 1.0222 2.2928
540 270.0 2.9350 3.6155 2.9350 1.0403 2.3298
550 275.0 2.8440 0.0182 2.8440 1.0388 2.2111
560 280.0 2.7595 4.0979 2.7595 0.9740 2.2044
570 285.0 2.8122 0.7135 2.8122 1.0080 2.2173
580 290.0 2.9239 2.7341 2.9239 1.0164 2.2783
590 295.0 2.8761 0.3416 2.8761 1.0358 2.2456
600 300.0 2.7979 1.3585 2.7979 0.9939 2.2208
610 305.0 2.8193 0.4717 2.8193 1.0066 2.1847
620 310.0 2.9299 3.1927 2.9299 1.0110 2.1742
630 315.0 2.9539 5.3964 2.9539 1.0062 2.1439
640 320.0 2.8208 0.4265 2.8208 0.9935 2.0876
650 325.0 2.8440 0.0179 2.8440 0.9916 2.1385
660 330.0 2.9358 3.6823 2.9358 1.0087 2.2559
670 335.0 2.8687 0.1754 2.8687 0.9999 2.3002
680 340.0 2.7771 2.6550 2.7771 0.9963 2.2687
690 345.0 2.8413 0.0375 2.8413 1.0155 2.2720
700 350.0 2.9513 5.1293 2.9513 0.9963 2.3549
710 355.0 2.8388 0.0623 2.8388 1.0190 2.3069
720 360.0 2.6964 11.8038 2.6964 0.9736 2.3040
730 365.0 2.8099 0.8033 2.8099 1.0196 2.3731
740 370.0 2.9565 5.6671 2.9565 0.9765 2.4729
750 375.0 2.8716 0.2333 2.8716 1.0132 2.3423
760 380.0 2.8184 0.5003 2.8184 0.9942 2.2537
770 385.0 2.9667 6.8075 2.9667 1.0108 2.3130
780 390.0 2.9453 4.5401 2.9453 1.0612 2.2859
790 395.0 2.8015 1.1765 2.8015 0.9582 2.2875
800 400.0 2.8332 0.1413 2.8332 1.0406 2.2975
810 405.0 2.9367 3.7563 2.9367 0.9688 2.3846
820 410.0 2.9256 2.8559 2.9256 1.0299 2.2994
830 415.0 2.8815 0.4949 2.8815 0.9648 2.2575
840 420.0 2.9032 1.4166 2.9032 1.0391 2.2236
850 425.0 2.8644 0.1035 2.8644 0.9703 2.2543
860 430.0 2.7635 3.7447 2.7635 1.0211 2.2124
870 435.0 2.8143 0.6369 2.8143 0.9595 2.2981
880 440.0 2.9569 5.7159 2.9569 1.0343 2.3242
890 445.0 2.9272 2.9816 2.9272 0.9571 2.2900
900 450.0 2.8335 0.1363 2.8335 1.0372 2.1533
910 455.0 2.8140 0.6464 2.8140 0.9473 2.1885
920 460.0 2.8323 0.1566 2.8323 1.0443 2.0957
930 465.0 2.8657 0.1240 2.8657 0.9518 2.1523
940 470.0 2.8208 0.4260 2.8208 1.0572 2.0631
950 475.0 2.9105 1.8294 2.9105 0.9484 2.2002
960 480.0 2.8882 0.7309 2.8882 1.0405 2.1685
970 485.0 2.7685 3.3248 2.7685 0.9595 2.1764
980 490.0 2.7371 6.3701 2.7371 1.0071 2.1123
990 495.0 2.9001 1.2536 2.9001 1.0013 2.1829
1000 500.0 2.9399 4.0429 2.9399 1.0219 2.2026
1010 505.0 2.8611 0.0620 2.8611 1.0040 2.1916
1020 510.0 2.8566 0.0220 2.8566 1.0052 2.1624
1030 515.0 2.9127 1.9668 2.9127 1.0075 2.1170
1040 520.0 2.8832 0.5507 2.8832 1.0083 2.0124
1050 525.0 2.8219 0.3946 2.8219 0.9877 1.9267
1060 530.0 2.8769 0.3605 2.8769 0.9928 1.9201
1070 535.0 2.9006 1.2792 2.9006 1.0031 1.9244
1080 540.0 2.8389 0.0618 2.8389 0.9924 1.9396
1090 545.0 2.8538 0.0074 2.8538 0.9872 2.0205
1100 550.0 2.8730 0.2651 2.8730 1.0307 2.0104
1110 555.0 2.8911 0.8433 2.8911 0.9897 2.0058
1120 560.0 2.8852 0.6188 2.8852 1.0170 1.9703
1130 565.0 2.8697 0.1950 2.8697 0.9932 1.9857
1140 570.0 2.8218 0.3990 2.8218 1.0281 1.9590
1150 575.0 2.8820 0.5132 2.8820 1.0019 1.9701
1160 580.0 2.8796 0.4389 2.8796 1.0601 1.9089
1170 585.0 2.8217 0.3993 2.8217 0.9938 1.9353
1180 590.0 2.8131 0.6814 2.8131 1.0260 1.9160
1190 595.0 2.8688 0.1772 2.8688 1.0043 1.9871
1200 600.0 2.8640 0.0978 2.8640 1.0221 1.9895
1210 605.0 2.8761 0.3417 2.8761 0.9871 2.0317
1220 610.0 2.9000 1.2490 2.9000 1.0394 2.0270
1230 615.0 2.8683 0.1672 2.8683 1.0079 2.0392
1240 620.0 2.8433 0.0224 2.8433 0.9942 2.0525
1250 625.0 2.8567 0.0224 2.8567 1.0321 2.0316
1260 630.0 2.8839 0.5751 2.8839 0.9766 2.0512
1270 635.0 2.8453 0.0109 2.8453 1.0417 1.9932
1280 640.0 2.8628 0.0818 2.8628 0.9654 2.0869
1290 645.0 2.8713 0.2262 2.8713 1.0291 2.1464
1300 650.0 2.9425 4.2807 2.9425 0.9584 2.2842
1310 655.0 2.8725 0.2529 2.8725 1.0544 2.2072
1320 660.0 2.8563 0.0197 2.8563 0.9584 2.2109
1330 665.0 2.8286 0.2291 2.8286 1.0609 2.1542
1340 670.0 2.8880 0.7215 2.8880 0.9392 2.2768
1350 675.0 2.8591 0.0414 2.8591 1.0649 2.1845
