# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 2603.2345 1.7182 2.5114 2.4126
10 5.0 3.0953 409.2812 3.0953 1.4740 2.4512
20 10.0 3.3233 228.9919 3.3233 1.3033 2.3757
30 15.0 3.2698 266.6052 3.2698 1.3649 2.4863
40 20.0 3.4047 177.1693 3.4047 1.4559 2.3730
50 25.0 3.2908 251.4471 3.2908 1.6394 1.8681
60 30.0 3.1317 376.9817 3.1317 2.5241 2.2715
70 35.0 2.8929 612.7890 2.8929 1.4138 2.0483
80 40.0 3.0212 479.0244 3.0212 2.2509 2.0219
90 45.0 3.1919 326.5441 3.1919 1.7901 2.4885
100 50.0 3.1724 342.4755 3.1724 0.8464 2.5929
110 55.0 3.1709 343.7069 3.1709 1.3815 2.4794
120 60.0 3.2093 312.5817 3.2093 0.8838 2.6992
130 65.0 3.3669 200.3935 3.3669 1.4131 1.9878
140 70.0 3.3534 209.0565 3.3534 1.2877 1.9507
150 75.0 3.2869 254.2231 3.2869 0.9691 2.5871
160 80.0 3.3932 184.0964 3.3932 1.3157 1.9671
170 85.0 3.4581 146.8547 3.4581 0.9620 2.3918
180 90.0 3.3205 230.8594 3.3205 1.0269 2.5425
190 95.0 3.2276 298.2735 3.2276 1.2619 2.0108
200 100.0 3.2559 276.8106 3.2559 1.0075 2.5317
210 105.0 3.4604 145.5652 3.4604 1.1535 2.0587
220 110.0 3.5793 88.5046 3.5793 1.1179 2.2394
230 115.0 3.3121 236.5927 3.3121 0.9901 2.7909
240 120.0 3.3797 192.4099 3.3797 1.0995 2.2513
250 125.0 3.6011 79.5534 3.6011 0.9341 2.5380
260 130.0 3.5865 85.5041 3.5865 1.1834 2.4317
270 135.0 3.4697 140.6299 3.4697 0.8716 2.2829
280 140.0 3.4820 134.1690 3.4820 1.2555 2.6502
290 145.0 3.5332 108.9349 3.5332 1.1813 2.3898
300 150.0 3.5476 102.3122 3.5476 0.9422 2.7042
310 155.0 3.5345 108.3332 3.5345 1.2578 2.5158
320 160.0 3.4974 126.3057 3.4974 1.2562 2.7246
330 165.0 3.5403 105.6446 3.5403 1.2370 2.5080
