# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 26.8584 1.7182 2.5114 2.4126
10 5.0 1.8885 1.8897 1.8885 2.4248 2.2503
20 10.0 1.8987 1.3153 1.8987 2.4648 2.1723
30 15.0 1.7652 17.0814 1.7652 2.6258 2.2051
40 20.0 1.7762 15.1041 1.7762 2.6091 2.2045
50 25.0 1.8103 9.7584 1.8103 2.4897 2.1568
60 30.0 1.9231 0.3621 1.9231 2.4069 2.1328
70 35.0 1.9150 0.6128 1.9150 2.3948 1.9802
80 40.0 1.8044 10.6015 1.8044 2.4478 1.6942
90 45.0 1.8008 11.1285 1.8008 2.5004 1.3555
100 50.0 2.0433 4.3484 2.0433 2.3664 1.3742
110 55.0 2.0364 3.7360 2.0364 2.3869 1.5153
120 60.0 1.7227 25.8353 1.7227 2.5883 1.4701
130 65.0 1.8536 4.6421 1.8536 2.4556 1.4978
140 70.0 2.0095 1.7691 2.0095 2.2323 1.5032
150 75.0 1.8880 1.9246 1.8880 2.2068 1.3871
160 80.0 1.8333 6.8122 1.8333 2.2989 1.4235
170 85.0 1.8549 4.5207 1.8549 2.4883 1.5521
180 90.0 1.8422 5.8153 1.8422 2.6327 1.5496
190 95.0 1.9353 0.1077 1.9353 2.6795 1.3884
200 100.0 2.0074 1.6489 2.0074 2.7339 1.3653
210 105.0 1.9294 0.2131 1.9294 2.7616 1.4871
220 110.0 1.8121 9.5029 1.8121 2.8059 1.4298
230 115.0 1.9229 0.3661 1.9229 2.8036 1.4186
240 120.0 2.0285 3.0799 2.0285 2.7038 1.4160
250 125.0 1.9036 1.0742 1.9036 2.6880 1.3982
260 130.0 1.8527 4.7301 1.8527 2.6132 1.5098
270 135.0 1.8338 6.7557 1.8338 2.4327 1.6028
280 140.0 1.8171 8.8280 1.8171 2.3807 1.5394
290 145.0 1.9579 0.0311 1.9579 2.5156 1.3739
300 150.0 1.9518 0.0017 1.9518 2.7486 1.3716
310 155.0 1.9008 1.2110 1.9008 2.8100 1.5351
320 160.0 1.8590 4.1408 1.8590 2.6972 1.5901
330 165.0 1.8751 2.8024 1.8751 2.7083 1.4598
340 170.0 1.9771 0.3672 1.9771 2.7721 1.2871
350 175.0 2.0493 4.9254 2.0493 2.6728 1.4164
360 180.0 1.9103 0.7873 1.9103 2.7346 1.4581
370 185.0 1.8051 10.5026 1.8051 2.9345 1.4193
380 190.0 1.9691 0.1834 1.9691 2.7782 1.4611
390 195.0 1.9226 0.3749 1.9226 2.5459 1.4280
400 200.0 1.7687 16.4363 1.7687 2.4596 1.4350
410 205.0 1.9111 0.7568 1.9111 2.7062 1.4509
420 210.0 1.8583 4.2064 1.8583 2.9033 1.4887
430 215.0 1.8807 2.4030 1.8807 2.9274 1.4609
440 220.0 1.9848 0.6058 1.9848 2.8287 1.3756
450 225.0 1.9567 0.0226 1.9567 2.7666 1.3984
460 230.0 1.8604 4.0140 1.8604 2.7323 1.4561
470 235.0 1.9022 1.1403 1.9022 2.7265 1.4189
480 240.0 1.9662 0.1311 1.9662 2.7135 1.3779
490 245.0 1.9117 0.7318 1.9117 2.7418 1.4006
500 250.0 1.8921 1.6736 1.8921 2.7366 1.4456
510 255.0 1.9471 0.0043 1.9471 2.7927 1.3529
520 260.0 1.9482 0.0017 1.9482 2.7892 1.3805
530 265.0 1.8744 2.8595 1.8744 2.7942 1.4517
540 270.0 1.9408 0.0420 1.9408 2.8020 1.3466
550 275.0 2.0016 1.3333 2.0016 2.7030 1.3677
560 280.0 1.8745 2.8525 1.8745 2.7081 1.4569
570 285.0 1.8574 4.2871 1.8574 2.7650 1.3949
580 290.0 1.9791 0.4242 1.9791 2.7408 1.3562
590 295.0 1.9601 0.0509 1.9601 2.7246 1.4255
600 300.0 1.8202 8.4214 1.8202 2.9036 1.4062
610 305.0 1.8897 1.8154 1.8897 2.8767 1.3884
620 310.0 2.0376 3.8384 2.0376 2.7288 1.4352
630 315.0 1.9262 0.2828 1.9262 2.8103 1.3845
640 320.0 1.8161 8.9655 1.8161 2.8733 1.3790
650 325.0 1.9458 0.0086 1.9458 2.7550 1.4377
660 330.0 2.0227 2.6446 2.0227 2.7822 1.3795
670 335.0 1.8705 3.1620 1.8705 2.8911 1.3763
680 340.0 1.8184 8.6591 1.8184 2.8376 1.4967
690 345.0 1.9791 0.4232 1.9791 2.6637 1.4596
700 350.0 2.0183 2.3337 2.0183 2.6118 1.3346
710 355.0 1.9292 0.2159 1.9292 2.5193 1.4105
720 360.0 1.8479 5.2112 1.8479 2.3918 1.5434
730 365.0 1.8041 10.6423 1.8041 2.3510 1.5237
740 370.0 1.9200 0.4513 1.9200 2.4239 1.4119
750 375.0 2.0511 5.1064 2.0511 2.5058 1.3686
760 380.0 1.9793 0.4282 1.9793 2.5306 1.3941
770 385.0 1.8202 8.4180 1.8202 2.5367 1.4751
